ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,KI_01,KI_01_SD_GR,KI_01_AG_GR,KI_02,KI_02_SD_GR,KI_02_AG_GR,KI_03,KI_03_SD_GR,KI_03_AG_GR,KI_04,KI_04_SD_GR,KI_04_AG_GR,KI_05,KI_05_SD_GR,KI_05_AG_GR,KI_16,KI_16_SD_GR,KI_16_AG_GR,KI_06,KI_06_SD_GR,KI_06_AG_GR,KI_17,KI_17_SD_GR,KI_17_AG_GR,KI_07,KI_07_SD_GR,KI_07_AG_GR,KI_08,KI_08_AG_GR,KI_14,KI_14_SD_GR,KI_14_AG_GR,KI_15,KI_15_SD_GR,KI_15_AG_GR,KI_09,KI_09_AG_GR,KI_10,KI_10_SD_GR,KI_10_AG_GR,KI_11,KI_11_AG_GR,KI_12,KI_12_SD_GR,KI_12_AG_GR,KI_13,KI_13_SD_GR,KI_13_AG_GR,KOM
202012,"02100104",Moritzplatz,5567,"02",5.63,3,5,29.26,2,3,18.58,4,5,91.74,4,5,69.32,4,5,37.26,4,5,0.02,2,4,82.64,4,5,38.85,3,4,,,,,,,,,100,6,71.88,2,4,21.44,3,0.06,2,4,-2.42,2,3,gültig
202012,"02100105",Prinzenstraße,9604,"02",8.47,4,5,29.52,2,3,18.54,4,5,89.68,4,5,71.25,4,5,34.66,3,5,0.02,2,4,81.32,4,5,42.6,4,5,,,,,,,,,100,6,76.16,3,4,18.55,2,-1.06,2,3,-5.25,2,2,gültig
202012,"02100106",Wassertorplatz,5009,"02",8.44,4,5,25.2,2,3,26.85,4,5,82.91,4,5,65.34,4,5,31.9,3,5,-0.76,2,3,78.91,4,4,45.62,4,5,,,,,,,,,100,6,71.51,2,4,18.75,2,-0.7,2,3,-5.59,2,2,gültig
202012,"02200207",Gleisdreieck,2067,"02",0,1,1,13.39,1,2,2.74,2,2,52.22,2,3,40.11,2,3,23.22,2,4,1.77,2,4,65.42,2,3,5.12,1,1,,,,,,,,,55.73,4,19.46,1,1,31.08,4,6.28,3,6,-4.08,2,2,gültig
202012,"02200208",Rathaus Yorckstraße,6008,"02",5.34,2,5,28.88,2,3,14.01,3,5,53.41,2,3,44.32,2,3,28.15,2,4,-0.92,1,3,62.33,2,3,22.68,2,3,,,,,,,,,31.09,3,62.74,2,3,32.97,4,-1.23,2,3,-6.99,2,2,gültig
202012,"02200209",Viktoriapark,10969,"02",3.08,2,4,22.33,2,3,12.6,2,5,51.49,2,3,40.62,2,3,24.86,2,4,0.02,2,4,58.2,2,2,15.01,2,2,,,,,,,,,2.87,2,62.82,2,3,27.64,3,-0.96,2,3,-2.42,2,3,gültig
202012,"02200210",Urbanstraße,12384,"02",3.36,2,4,28.52,2,3,13.44,3,5,53.31,2,3,43.77,2,3,27.72,2,4,0.11,2,4,58,2,2,16.88,2,2,,,,,,,,,0,1,63.1,2,3,28.07,3,-2.12,2,3,-7.43,2,2,gültig
202012,"02200211",Chamissokiez,14760,"02",4.86,2,5,29.87,2,3,13.55,3,5,53.79,2,3,41.84,2,3,24.69,2,4,-0.87,2,3,61.06,2,3,14.47,2,2,,,,,,,,,0,1,66.4,2,3,26.97,3,-1.49,2,3,-5.31,2,2,gültig
202012,"02200212",Graefekiez Süd,8602,"02",8.63,4,5,30.3,2,4,16.51,4,5,64,2,4,50.36,2,4,27.13,2,4,0.05,2,4,65.81,2,3,28.23,2,3,,,,,,,,,12.71,2,69.36,2,3,21.36,3,-0.46,2,3,-4.64,2,2,gültig
202012,"02200213",Graefekiez Nord,10284,"02",5.88,3,5,28.47,2,3,16.49,4,5,55.82,2,3,45.58,2,4,29.22,2,4,0.66,2,4,57,1,2,18.29,2,2,,,,,,,,,30.31,3,64.05,2,3,27.29,3,-1.15,2,3,-6.21,2,2,gültig
202012,"02300314",Oranienplatz,7587,"02",7.86,4,5,30.71,2,4,20.99,4,5,73.66,3,4,60.96,4,5,36.84,4,5,-1.04,1,3,80.39,4,5,33.65,2,4,,,,,,,,,100,6,73.1,2,4,20.87,3,-1.2,2,3,-3.63,2,3,gültig
202012,"02300315",Lausitzer Platz,8723,"02",6.93,4,5,32.14,2,4,21.55,4,5,69.46,2,4,57.77,3,4,34.84,3,5,0.67,2,4,74.23,3,4,29.32,2,3,,,,,,,,,100,6,70.26,2,4,24.51,3,-1.47,2,3,-4.04,2,2,gültig
202012,"02300316",Köpenicker Straße,4215,"02",5.67,3,5,32.88,2,4,21.68,4,5,63.71,2,4,49.37,2,4,28.99,2,4,-0.33,2,3,68.09,2,3,25.81,2,3,,,,,,,,,100,6,68.52,2,3,22.08,3,-0.57,2,3,-6.89,2,2,gültig
202012,"02300417",Reichenberger Straße West,8433,"02",6.74,3,5,31.28,2,4,18.64,4,5,67.81,2,4,55.09,3,4,34.31,3,5,-0.64,2,3,68.48,2,3,24.75,2,3,,,,,,,,,100,6,65.66,2,3,25.87,3,-1.04,2,3,-6.39,2,2,gültig
202012,"02300418",Reichenberger Straße Ost,7710,"02",7.29,4,5,31.16,2,4,18.16,4,5,54.73,2,3,48.02,2,4,30.43,2,5,0.19,2,4,62.23,2,3,19.53,2,2,,,,,,,,,90.86,5,66,2,3,26.53,3,-1.6,2,3,-5.4,2,2,gültig
202012,"02300419",Wrangelkiez,10903,"02",4.86,2,5,30.19,2,4,15.88,3,5,59.27,2,3,51.27,3,4,33.33,3,5,-0.11,2,3,65.66,2,3,20.82,2,3,,,,,,,,,100,6,66.41,2,3,27.6,3,-1.68,2,3,-8.82,2,1,gültig
202012,"02400520",Barnimkiez,5451,"02",5.91,3,5,41.13,4,5,2.22,2,1,59.52,2,3,31.66,2,3,17.68,2,3,1.62,2,4,73.13,2,4,27.62,2,3,,,,,,,,,0,1,71.08,2,4,17.74,2,2.34,2,4,15.91,4,6,gültig
202012,"02400521",Friedenstraße,7858,"02",1.87,2,2,33.2,2,4,3.87,2,2,50.99,2,3,33.98,2,3,21.37,2,3,1.78,2,4,63.07,2,3,18.06,2,2,,,,,,,,,0,1,58.75,2,2,28.68,3,2.75,2,4,2.58,2,4,gültig
202012,"02400522",Richard-Sorge-Viertel,11262,"02",2.61,2,3,28.13,2,3,3.13,2,2,41.44,2,3,29.56,2,2,18.93,2,3,1.64,2,4,57.13,1,2,13.94,2,2,,,,,,,,,0,1,59.13,2,2,27.46,3,0.4,2,4,-7.52,2,2,gültig
202012,"02400623",Andreasviertel,13307,"02",3.89,2,4,37.99,3,4,5.79,2,3,68.81,2,4,45.69,2,4,29.58,2,4,2.36,2,4,75.74,3,4,21.69,2,3,,,,,,,,,0,1,58.13,2,2,28.15,3,0.77,2,4,0.03,2,4,gültig
202012,"02400624",Weberwiese,11314,"02",1.9,2,2,28.83,2,3,3.96,2,2,37.31,2,2,33.44,2,3,23.93,2,4,4.14,4,5,58.33,2,2,9.69,1,1,,,,,,,,,0,1,58.52,2,2,36.02,4,1.02,2,4,-6.23,2,2,gültig
202012,"02400625",Wriezener Bahnhof,1136,"02",9.24,4,5,22.35,2,3,22.73,4,5,92.27,4,5,68.84,4,5,60.83,4,5,1.43,2,4,43.42,1,1,27.03,2,3,,,,,,,,,56.43,4,46.75,1,1,42.67,5,-1.64,2,3,-18.47,1,1,gültig
202012,"02500726",Hausburgviertel,9134,"02",2.6,2,3,31.96,2,4,9.26,2,4,43.42,2,3,35.76,2,3,25.13,2,4,3.01,2,5,58.08,2,2,14.51,2,2,,,,,,,,,0,1,53.85,1,2,33.07,4,-0.82,2,3,-10.26,2,1,gültig
202012,"02500727",Forckenbeckplatz,6623,"02",2.95,2,3,28.31,2,3,9.81,2,4,45.15,2,3,36.57,2,3,25.92,2,4,1.57,2,4,50.26,1,2,11.69,2,2,,,,,,,,,0,1,50.61,1,2,32.59,4,0.87,2,4,-6.99,2,2,gültig
202012,"02500728",Samariterviertel,10109,"02",2.28,2,3,30.12,2,4,9.71,2,4,35.14,2,2,33.02,2,3,23.28,2,4,2.05,2,4,53.42,1,2,11.59,2,2,,,,,,,,,0,1,55.78,1,2,33.17,4,0.92,2,4,-3.63,2,3,gültig
202012,"02500729",Pettenkofer Straße,5441,"02",2.66,2,3,27.67,2,3,9.72,2,4,39.96,2,2,33.36,2,3,21.85,2,3,1.21,2,4,54.75,1,2,13.31,2,2,,,,,,,,,0,1,58.82,2,2,27.89,3,-1.31,2,3,-5.83,2,2,gültig
202012,"02500830",Niederbarnimstraße,3931,"02",3.57,2,4,30.86,2,4,9.9,2,4,48.13,2,3,38.39,2,3,26.23,2,4,0.72,2,4,52.28,1,2,11.22,2,2,,,,,,,,,0,1,54.79,1,2,35.28,4,0.5,2,4,-1.24,2,3,gültig
