ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,SI_N,SI_V,DI_N,DI_V,SDI,SDI_N,SDI_V,KOM
202012,"03200309",Eddastraße,5238,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03200310",Krugpfuhl,7961,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03300411",Karow Nord,11455,"03",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"03300412",Karow Bahnhof,5138,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03300413",Karow Ost,3101,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03300514",Blankenburg,6875,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03300515",Blankenburger Süden,38,"03",-9999,Planungsraum ohne Zuordnung,-9999,Planungsraum ohne Zuordnung,Planungsraum ohne Zuordnung,-9999,Planungsraum ohne Zuordnung,ungültig (EW unter 300)
202012,"03300516",Heinersdorf,7779,"03",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"03300517",Märchenland,1120,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03400618",Rosenthal,4742,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03400619",Wilhelmsruh,10438,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400620",Schönholz,3509,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03400721",Florakiez,11438,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400722",Parkstraße,3607,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03400723",Garbátyplatz,7112,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400724",Wolfshagener Straße,7633,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400725",Schlosspark,7450,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400826",Tiroler Viertel,6620,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400827",Trelleborger Viertel,9628,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400828",Spiekermann Straße,4615,"03",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"03400829",Arnold-Zweig-Straße,5583,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400830",Kissingenviertel,9292,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03400831",Pankower Tor,,"03",-9999,Planungsraum ohne Zuordnung,-9999,Planungsraum ohne Zuordnung,Planungsraum ohne Zuordnung,-9999,Planungsraum ohne Zuordnung,ungültig (EW unter 300)
202012,"03500932",Bühringstraße,5096,"03",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"03500933",Weißer See,7551,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03500934",Weißenseer Spitze,10049,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03500935",Behaimstraße,6407,"03",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"03500936",Komponistenviertel Weißensee,9819,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03501037",Rathaus Weißensee,8509,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03501038",Hansastraße,7324,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601139",Norweger Viertel,3795,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601140",Malmöer Straße,5884,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601141",Arnimplatz,6576,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601142",Falkplatz,10744,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601243",Rodenbergstraße,7032,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601244",Humannplatz,7600,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601245",Ostseestraße,12813,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601346",Gethsemanekirche,5470,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601347",Helmholtzplatz,9548,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601348",Senefelderstraße,7516,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601449",Michelangelostraße,9970,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601450",Volkspark Prenzlauer Berg,3965,"03",4,sehr niedrig,5,negativ,4-,45,"Status sehr niedrig , Dynamik negativ",gültig
202012,"03601451",Anton-Saefkow-Park,6373,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601452",Velodrom,4063,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03601453",Alter Schlachthof,2825,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03701554",Teutoburger Platz,11328,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03701555",Sredzkistraße,7274,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03701556",Kollwitzplatz,8656,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03701657",Thälmannpark,3188,"03",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"03701658",Christburger Straße,8448,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03701659",Immanuelkirchstraße,9164,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03701660",Bötzowstraße,12823,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04100101",Jungfernheide/Plötzensee,11548,"04",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"04100102",Paul-Hertz-Siedlung,7855,"04",4,sehr niedrig,3,stabil,4+/-,43,"Status sehr niedrig , Dynamik stabil",gültig
202012,"04200203",Olympiagelände,1482,"04",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"04200204",Angerburger Allee,2832,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04200205",Flatowallee,2569,"04",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"04200206",Kranzallee,2963,"04",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"04200207",Eichkamp,3192,"04",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"04200308",Branitzer Platz,6379,"04",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"04200309",Neu Westend,6936,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04200310",Fürstenplatz,7809,"04",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"04200311",Königin-Elisabeth-Straße,7218,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300412",Schlossgarten,3329,"04",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"04300413",Klausenerplatz,10334,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300414",Schloßstraße,10786,"04",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"04300415",Lietzensee,6488,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300416",Amtsgerichtsplatz,12145,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300517",Tegeler Weg,9637,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300518",Kaiserin-Augusta-Allee,5930,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300619",Alt-Lietzow,8859,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300620",Spreestadt,3429,"04",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"04300621",Richard-Wagner-Straße,10811,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300622",Ernst-Reuter-Platz,5157,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300623",Karl-August-Platz,12121,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04300624",Savignyplatz,9538,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04400725",Güterbahnhof Grunewald,110,"04",-9999,Planungsraum ohne Zuordnung,-9999,Planungsraum ohne Zuordnung,Planungsraum ohne Zuordnung,-9999,Planungsraum ohne Zuordnung,ungültig (EW unter 300)
202012,"04400726",Bismarckallee,5470,"04",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"04400727",Flinsberger Platz,8264,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04400728",Hagenplatz,3173,"04",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"04400729",Hundekehle,2796,"04",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"04400830",Forckenbeckstraße,7119,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04400831",Messelpark,1513,"04",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"04400832",Breite Straße,7023,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04400833",Schlangenbader Straße,4178,"04",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"04400834",Binger Straße,3574,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
