ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,S1,S1_SD_GR,S1_AG_GR,S2,S2_SD_GR,S2_AG_GR,S3,S3_SD_GR,S3_AG_GR,S4,S4_SD_GR,S4_AG_GR,D1,D1_SD_GR,D1_AG_GR,D2,D2_SD_GR,D2_AG_GR,D3,D3_SD_GR,D3_AG_GR,D4,D4_SD_GR,D4_AG_GR,KOM
202012,"03400721",Florakiez,11438,"03",2.88199,2,2,,,,5.49047,2,2,7.53212,1,1,0.55409,2,4,,,,0.0711,2,4,1.4884,2,4,gültig
202012,"03400722",Parkstraße,3607,"03",1.71017,1,1,,,,3.43776,1,1,4.44811,1,1,0.21237,2,4,,,,-0.12499,2,3,0.7334,2,4,gültig
202012,"03400723",Garbátyplatz,7112,"03",3.72487,2,2,,,,6.24297,2,2,11.57811,2,2,0.7856,2,4,,,,-1.33325,2,2,0.93622,2,4,gültig
202012,"03400724",Wolfshagener Straße,7633,"03",3.64842,2,2,,,,7.34967,2,2,15.40905,2,2,0.8095,2,4,,,,-0.49863,2,3,-0.42279,2,3,gültig
202012,"03400725",Schlosspark,7450,"03",3.47349,2,2,,,,6.79195,2,2,15.33575,2,2,0.88832,2,4,,,,-0.46589,2,3,2.04703,2,5,gültig
202012,"03400826",Tiroler Viertel,6620,"03",3.55987,2,2,,,,6.40483,2,2,12.40602,2,2,0.94626,2,4,,,,-0.75229,2,3,0.44191,2,4,gültig
202012,"03400827",Trelleborger Viertel,9628,"03",3.6058,2,2,,,,5.85791,2,2,10.59078,2,2,0.81585,2,4,,,,-0.56011,2,3,1.00775,2,4,gültig
202012,"03400828",Spiekermann Straße,4615,"03",2.81385,2,2,,,,4.96208,2,1,8.78735,2,1,-0.24415,1,3,,,,-1.22521,2,2,-3.09384,2,2,gültig
202012,"03400829",Arnold-Zweig-Straße,5583,"03",2.84784,2,2,,,,6.39441,2,2,13.45455,2,2,0.92635,2,4,,,,-0.41159,2,3,0.98289,2,4,gültig
202012,"03400830",Kissingenviertel,9292,"03",4.3853,2,3,,,,8.2867,2,2,18.82262,2,2,1.17839,2,5,,,,-0.01548,2,3,2.04466,2,5,gültig
202012,"03400831",Pankower Tor,,"03",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,ungültig (EW unter 300)
202012,"03500932",Bühringstraße,5096,"03",5.10174,2,3,,,,8.83046,2,2,20.91988,2,3,0.35405,2,4,,,,-4.22704,1,1,-8.24172,1,1,gültig
202012,"03500933",Weißer See,7551,"03",3.12375,2,2,,,,6.46272,2,2,10.92003,2,2,0.48232,2,4,,,,-0.11871,2,3,0.84509,2,4,gültig
202012,"03500934",Weißenseer Spitze,10049,"03",4.59042,2,3,,,,6.37874,2,2,9.62635,2,1,1.51181,2,5,,,,-1.61175,2,2,-1.98782,2,3,gültig
202012,"03500935",Behaimstraße,6407,"03",4.81007,2,3,,,,7.46059,2,2,9.9356,2,1,0.35367,2,4,,,,-2.58827,1,1,-4.88998,1,1,gültig
202012,"03500936",Komponistenviertel Weißensee,9819,"03",3.78261,2,2,,,,7.95397,2,2,15.55934,2,2,0.47525,2,4,,,,-0.32896,2,3,1.67045,2,4,gültig
202012,"03501037",Rathaus Weißensee,8509,"03",6.54858,2,4,,,,8.99048,2,2,22.38232,2,3,1.64416,2,5,,,,-1.91523,2,2,-3.59594,2,2,gültig
202012,"03501038",Hansastraße,7324,"03",3.36062,2,2,,,,7.52321,2,2,20.40816,2,3,0.96233,2,4,,,,-0.90476,2,3,-1.8898,2,3,gültig
202012,"03601139",Norweger Viertel,3795,"03",4.63621,2,3,,,,7.56258,2,2,14.16667,2,2,0.6182,2,4,,,,-0.95097,2,3,-3.19274,2,2,gültig
202012,"03601140",Malmöer Straße,5884,"03",3.18565,2,2,,,,4.77566,2,1,4.67626,1,1,0.61524,2,4,,,,-1.04017,2,2,-1.19141,2,3,gültig
202012,"03601141",Arnimplatz,6576,"03",3.09016,2,2,,,,5.56569,2,2,9.68421,2,1,0.95542,2,4,,,,-0.56055,2,3,1.11588,2,4,gültig
202012,"03601142",Falkplatz,10744,"03",2.94391,2,2,,,,4.98883,2,1,6.12245,1,1,0.74738,2,4,,,,0.30264,2,4,0.18553,2,4,gültig
202012,"03601243",Rodenbergstraße,7032,"03",2.44648,2,2,,,,4.52218,2,1,5.88915,1,1,0.4367,2,4,,,,-0.41943,2,3,-0.5967,2,3,gültig
202012,"03601244",Humannplatz,7600,"03",2.50768,2,2,,,,4.64474,2,1,7.0407,1,1,0.47349,2,4,,,,-0.21956,2,3,0.37403,2,4,gültig
202012,"03601245",Ostseestraße,12813,"03",4.39333,2,3,,,,7.94506,2,2,17.76119,2,2,1.21658,2,5,,,,-1.31434,2,2,-3.13664,2,2,gültig
202012,"03601346",Gethsemanekirche,5470,"03",3.21771,2,2,,,,6.67276,2,2,9.87074,2,1,0.65185,2,4,,,,0.0591,2,4,0.5787,2,4,gültig
202012,"03601347",Helmholtzplatz,9548,"03",3.37211,2,2,,,,6.25262,2,2,8.07692,2,1,0.8431,2,4,,,,-0.09642,2,3,0.37528,2,4,gültig
202012,"03601348",Senefelderstraße,7516,"03",3.39623,2,2,,,,5.16232,2,2,5.84532,1,1,0.87106,2,4,,,,0.17794,2,4,1.17983,2,4,gültig
202012,"03601449",Michelangelostraße,9970,"03",7.20243,2,4,,,,10.57172,2,3,35.37981,2,4,1.9332,2,5,,,,-0.84714,2,3,-1.72574,2,3,gültig
202012,"03601450",Volkspark Prenzlauer Berg,3965,"03",13.63063,4,5,,,,22.87516,4,5,50.58824,4,5,4.69296,3,6,,,,3.87371,3,6,15.25491,3,6,gültig
202012,"03601451",Anton-Saefkow-Park,6373,"03",3.88678,2,2,,,,7.07673,2,2,9.82249,2,1,0.86724,2,4,,,,-0.46344,2,3,1.31909,2,4,gültig
202012,"03601452",Velodrom,4063,"03",5.46749,2,3,,,,10.68176,2,3,24.9501,2,3,1.08768,2,5,,,,-0.48292,2,3,-2.34248,2,2,gültig
202012,"03601453",Alter Schlachthof,2825,"03",0.54083,1,1,,,,1.34513,1,1,0.66401,1,1,0.24462,2,4,,,,0.40528,2,4,0.01968,2,4,gültig
202012,"03701554",Teutoburger Platz,11328,"03",2.29302,2,2,,,,4.74929,2,1,6.49718,1,1,0.43182,2,4,,,,0.26873,2,4,-0.71054,2,3,gültig
202012,"03701555",Sredzkistraße,7274,"03",2.90507,2,2,,,,4.26175,2,1,5.19481,1,1,0.61261,2,4,,,,0.14952,2,4,1.20898,2,4,gültig
202012,"03701556",Kollwitzplatz,8656,"03",1.97527,1,1,,,,4.28604,2,1,6.24152,1,1,0.48945,2,4,,,,0.38015,2,4,2.03234,2,5,gültig
202012,"03701657",Thälmannpark,3188,"03",6.62344,2,4,,,,12.07654,2,3,24.42396,2,3,1.59399,2,5,,,,-0.52798,2,3,4.65652,3,6,gültig
202012,"03701658",Christburger Straße,8448,"03",2.75831,2,2,,,,4.85322,2,1,6.53644,1,1,0.74908,2,4,,,,0.0729,2,4,1.01583,2,4,gültig
202012,"03701659",Immanuelkirchstraße,9164,"03",2.73342,2,2,,,,4.95417,2,1,8.12672,2,1,0.67991,2,4,,,,0.27791,2,4,0.3578,2,4,gültig
202012,"03701660",Bötzowstraße,12823,"03",2.56463,2,2,,,,4.91305,2,1,6.2069,1,1,0.32074,2,4,,,,0.31264,2,4,1.02009,2,4,gültig
202012,"04100101",Jungfernheide/Plötzensee,11548,"04",7.52953,2,4,,,,16.81676,2,4,43.97463,3,5,0.74456,2,4,,,,-2.07606,2,1,-5.7078,1,1,gültig
202012,"04100102",Paul-Hertz-Siedlung,7855,"04",10.80474,4,5,,,,24.13749,4,5,50.64443,4,5,2.03532,3,6,,,,-2.49619,1,1,-2.23185,2,2,gültig
