ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,KI_01,KI_01_SD_GR,KI_01_AG_GR,KI_02,KI_02_SD_GR,KI_02_AG_GR,KI_03,KI_03_SD_GR,KI_03_AG_GR,KI_04,KI_04_SD_GR,KI_04_AG_GR,KI_05,KI_05_SD_GR,KI_05_AG_GR,KI_16,KI_16_SD_GR,KI_16_AG_GR,KI_06,KI_06_SD_GR,KI_06_AG_GR,KI_17,KI_17_SD_GR,KI_17_AG_GR,KI_07,KI_07_SD_GR,KI_07_AG_GR,KI_08,KI_08_AG_GR,KI_14,KI_14_SD_GR,KI_14_AG_GR,KI_15,KI_15_SD_GR,KI_15_AG_GR,KI_09,KI_09_AG_GR,KI_10,KI_10_SD_GR,KI_10_AG_GR,KI_11,KI_11_AG_GR,KI_12,KI_12_SD_GR,KI_12_AG_GR,KI_13,KI_13_SD_GR,KI_13_AG_GR,KOM
202012,"04020209",Eichkamp,3140,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,2,4,45.2,2,4,,,,,,,,,,,,,,gültig
202012,"04020310",Park Ruhwald,806,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.94,1,1,22.97,1,1,,,,,,,,,,,,,,gültig
202012,"04020311",Reichsstraße,14745,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,2,2.11,3,4,47.78,3,4,,,,,,,,,,,,,,gültig
202012,"04020312",Branitzer Platz,5573,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,2,1.94,2,3,45.91,2,4,,,,,,,,,,,,,,gültig
202012,"04020313",Königin-Elisabeth-Straße,7212,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44,2,1.94,2,3,40.55,2,3,,,,,,,,,,,,,,gültig
202012,"04020314",Messegelände,6,"04",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,ungültig (EW unter 300)
202012,"04030415",Schloßgarten,3329,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1.62,2,2,38.63,2,2,,,,,,,,,,,,,,gültig
202012,"04030416",Klausenerplatz,10334,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,44.06,4,1.62,2,2,35.21,2,2,,,,,,,,,,,,,,gültig
202012,"04030417",Schloßstraße,10786,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,2,1.92,2,3,42.99,2,3,,,,,,,,,,,,,,gültig
202012,"04030518",Tegeler Weg,9637,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1,1.9,2,3,38.32,2,2,,,,,,,,,,,,,,gültig
202012,"04030519",Kaiserin-Augusta-Allee,5930,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99,2,1.8,2,3,39.27,2,2,,,,,,,,,,,,,,gültig
202012,"04030620",Alt-Lietzow,8859,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2,1.79,2,3,38.57,2,2,,,,,,,,,,,,,,gültig
202012,"04030621",Spreestadt,3429,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2,1.67,2,2,41.53,2,3,,,,,,,,,,,,,,gültig
