PLR_NAME,PLR_ID,Violent Delinquency Overall,Domestic and Partner Violence,Youth Violence
Nikolsburger Platz,04501149,Mittel,Mittel,Mittel
Wilhelmsaue,04501150,Mittel,Mittel,Niedrig
Hildegardstraße,04501151,Niedrig,Niedrig,Niedrig
Prager Platz,04501152,Mittel,Mittel,Niedrig
Babelsberger Straße,04501153,Mittel,Niedrig,Mittel
Hakenfelde Nord,05100101,Mittel,Mittel,Mittel
Am Forstacker,05100102,Mittel,Mittel,Mittel
Mertensstraße,05100103,Mittel,Erhöht,Mittel
Maselake,05100104,Mittel,Mittel,Mittel
Amorbacher Weg,05100105,Niedrig,Niedrig,Niedrig
Griesingerstraße,05100206,Mittel,Erhöht,Mittel
An der Tränke,05100207,Niedrig,Mittel,Niedrig
Im Spektefeld,05100208,Mittel,Erhöht,Erhöht
Westerwaldstraße,05100209,Mittel,Erhöht,Mittel
Germersheimer Platz,05100210,Mittel,Stark erhöht,Mittel
An der Kappe,05100211,Mittel,Mittel,Erhöht
Eckschanze,05100312,Mittel,Erhöht,Mittel
Eiswerder,05100313,Mittel,Erhöht,Mittel
Kurstraße,05100314,Erhöht,Stark erhöht,Erhöht
Ackerstraße,05100315,Mittel,Stark erhöht,Erhöht
Carl-Schurz-Straße,05100316,Erhöht,Erhöht,Stark erhöht
Freiheit,05100317,Mittel,Mittel,Erhöht
Isenburger Weg,05200418,Niedrig,Niedrig,Niedrig
Am Heideberg,05200419,Niedrig,Mittel,Niedrig
Staakener Straße,05200420,Mittel,Mittel,Mittel
Spandauer Straße,05200421,Mittel,Mittel,Mittel
Werkstraße,05200422,Mittel,Erhöht,Stark erhöht
Magistratsweg,05200423,Mittel,Mittel,Mittel
Döberitzer Weg,05200524,Niedrig,Mittel,Niedrig
Pillnitzer Weg,05200525,Niedrig,Niedrig,Mittel
Rudolf-Wissell-Großsiedlung,05200526,Mittel,Erhöht,Mittel
Maulbeerallee,05200527,Mittel,Stark erhöht,Erhöht
Weinmeisterhornweg,05200528,Mittel,Mittel,Mittel
Borkumer Straße,05200629,Erhöht,Erhöht,Erhöht
Wilhelmstadt West,05200630,Mittel,Erhöht,Mittel
Wilhelmstadt Ost,05200631,Mittel,Erhöht,Mittel
Tiefwerder,05200632,Mittel,Erhöht,Mittel
Graetschelsteig,05200633,Mittel,Erhöht,Mittel
Börnicker Straße,05200634,Mittel,Niedrig,Erhöht
Haveleck,05300735,Mittel,Mittel,Mittel
Zitadellenweg,05300736,Erhöht,Erhöht,Erhöht
Gartenfelder Straße,05300737,Mittel,Erhöht,Mittel
Gartenfeld,05300838,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche
Rohrdamm,05300839,Mittel,Mittel,Mittel
Nonnendammallee,05300840,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche
Siemensdamm,05300841,Mittel,Mittel,Mittel
Alt-Gatow,05400942,Mittel,Niedrig,Mittel
Jägerallee,05400943,Niedrig,Niedrig,Niedrig
Kladower Damm,05400944,Mittel,Niedrig,Niedrig
Kafkastraße,05400945,Niedrig,Niedrig,Niedrig
Fichtenberg,06100101,Mittel,Niedrig,Niedrig
Schloßstraße,06100102,Mittel,Niedrig,Mittel
Markelstraße,06100103,Mittel,Niedrig,Mittel
Munsterdamm,06100204,Niedrig,Niedrig,Niedrig
Südende,06100205,Niedrig,Mittel,Niedrig
Stadtpark,06100206,Mittel,Niedrig,Niedrig
Mittelstraße,06100207,Niedrig,Niedrig,Niedrig
Bergstraße,06100208,Mittel,Mittel,Mittel
Feuerbachstraße,06100209,Niedrig,Niedrig,Niedrig
Bismarckstraße,06100210,Niedrig,Mittel,Niedrig
Alt-Lankwitz,06200311,Mittel,Niedrig,Mittel
Komponistenviertel Lankwitz,06200312,Mittel,Mittel,Mittel
Lankwitz Kirche,06200313,Mittel,Mittel,Mittel
Kaiser-Wilhelm-Straße,06200314,Mittel,Mittel,Mittel
Gallwitzallee,06200315,Mittel,Mittel,Mittel
Belßstraße,06200316,Mittel,Erhöht,Mittel
Lankwitz Süd,06200317,Niedrig,Niedrig,Niedrig
Landweg,06200418,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche
Thermometersiedlung,06200419,Mittel,Mittel,Niedrig
Lichterfelde Süd,06200420,Mittel,Mittel,Niedrig
Königsberger Straße,06200421,Mittel,Mittel,Mittel
Oberhofer Platz,06200422,Mittel,Niedrig,Niedrig
Schütte-Lanz-Straße,06200423,Mittel,Mittel,Niedrig
Berlepschstraße,06300524,Mittel,Niedrig,Niedrig
Zehlendorf Süd,06300525,Niedrig,Niedrig,Niedrig
Zehlendorf Mitte,06300526,Mittel,Mittel,Erhöht
Sundgauer Straße,06300527,Niedrig,Niedrig,Niedrig
Teltower Damm,06300528,Niedrig,Niedrig,Niedrig
Botanischer Garten,06300629,Niedrig,Niedrig,Niedrig
Hindenburgdamm,06300630,Mittel,Mittel,Mittel
Goerzwerke,06300631,Mittel,Mittel,Mittel
Schweizer Viertel,06300632,Mittel,Niedrig,Niedrig
Augustaplatz,06300633,Niedrig,Niedrig,Mittel
Lichterfelde West,06300634,Niedrig,Niedrig,Niedrig
Wannsee,06400735,Niedrig,Niedrig,Niedrig
Düppel,06400736,Mittel,Niedrig,Mittel
Nikolassee,06400737,Mittel,Niedrig,Mittel
Krumme Lanke,06400838,Niedrig,Niedrig,Mittel
Fischerhüttenstraße,06400839,Mittel,Niedrig,Mittel
Fischtal,06400840,Niedrig,Niedrig,Niedrig
Zehlendorf Eiche,06400841,Niedrig,Niedrig,Niedrig
Hüttenweg,06400842,Mittel,Niedrig,Mittel
Thielallee,06400843,Niedrig,Niedrig,Mittel
Dahlem,06400844,Mittel,Niedrig,Mittel
Wittenbergplatz,07100101,Mittel,Mittel,Mittel
Kalckreuthstraße,07100102,Erhöht,Erhöht,Mittel
Frobenstraße,07100103,Erhöht,Erhöht,Mittel
Barbarossaplatz,07100204,Niedrig,Niedrig,Niedrig
Alvenslebenstraße,07100205,Mittel,Erhöht,Mittel
Großgörschenstraße,07100206,Mittel,Mittel,Mittel
Bayerischer Platz,07200307,Niedrig,Niedrig,Mittel
Volkspark (Rudolph-Wilde-Park),07200308,Mittel,Niedrig,Mittel
Belziger Straße,07200409,Mittel,Niedrig,Mittel
Feurigstraße,07200410,Mittel,Erhöht,Mittel
Julius-Leber-Brücke,07200411,Mittel,Erhöht,Mittel
Schöneberger Linse,07200412,Mittel,Niedrig,Mittel
Cheruskerstraße,07200413,Mittel,Niedrig,Niedrig
Hohenfriedbergstraße,07200414,Mittel,Niedrig,Niedrig
Taunusstraße,07300515,Niedrig,Niedrig,Niedrig
Odenwaldstraße,07300516,Mittel,Niedrig,Niedrig
Perelsplatz,07300517,Mittel,Niedrig,Mittel
Ceciliengärten,07300618,Niedrig,Niedrig,Mittel
Grazer Platz,07300619,Mittel,Niedrig,Mittel
Gontermannstraße,07400720,Mittel,Mittel,Niedrig
Paradestraße,07400721,Mittel,Niedrig,Erhöht
Lindenhofsiedlung,07400822,Mittel,Mittel,Mittel
Wittekindstraße,07400823,Mittel,Mittel,Mittel
Bosepark,07400824,Mittel,Mittel,Mittel
Friedrich-Karl-Straße,07400825,Mittel,Erhöht,Mittel
Marienhöhe,07400826,Mittel,Mittel,Mittel
Rathaus Tempelhof,07400927,Mittel,Mittel,Mittel
Germaniagarten,07400928,Mittel,Erhöht,Mittel
Ringstraße,07501029,Mittel,Mittel,Niedrig
Machonstraße,07501030,Mittel,Mittel,Mittel
Eisenacher Straße,07501031,Mittel,Mittel,Mittel
Imbrosweg,07501032,Mittel,Mittel,Niedrig
Fritz-Werner-Straße,07501133,Mittel,Erhöht,Mittel
Hundsteinweg,07501134,Niedrig,Niedrig,Niedrig
Birnhornweg,07501135,Niedrig,Niedrig,Niedrig
Marienfelder Allee Nordwest,07601236,Mittel,Mittel,Mittel
Kirchstraße,07601237,Mittel,Mittel,Mittel
Marienfelde Nordost,07601238,Mittel,Mittel,Mittel
Tirschenreuther Ring West,07601339,Mittel,Erhöht,Mittel
Tirschenreuther Ring Ost,07601340,Mittel,Erhöht,Mittel
Diedersdorfer Weg,07601341,Mittel,Mittel,Mittel
Kettinger Straße,07601442,Niedrig,Niedrig,Mittel
Töpchiner Weg,07601443,Niedrig,Mittel,Niedrig
John-Locke-Straße,07601544,Mittel,Mittel,Mittel
Nahariyastraße,07601545,Mittel,Mittel,Mittel
Franziusweg,07601546,Niedrig,Niedrig,Niedrig
Horstwalder Straße,07601547,Niedrig,Niedrig,Mittel
Wittelsbacherstraße,07601548,Niedrig,Niedrig,Niedrig
Hasenheide,08100101,Erhöht,Erhöht,Mittel
Schillerpromenade Nord,08100102,Mittel,Mittel,Mittel
Schillerpromenade Süd,08100103,Mittel,Mittel,Mittel
Wartheplatz,08100104,Mittel,Mittel,Mittel
Silbersteinstraße,08100105,Mittel,Erhöht,Mittel
Flughafenstraße,08100206,Erhöht,Mittel,Erhöht
Rollberg,08100207,Mittel,Erhöht,Mittel
Körnerpark,08100208,Mittel,Mittel,Mittel
Glasower Straße,08100209,Erhöht,Erhöht,Mittel
Maybachufer,08100310,Mittel,Mittel,Mittel
Reuterplatz,08100311,Mittel,Mittel,Mittel
Weichselplatz,08100312,Mittel,Mittel,Mittel
Bouchéstraße,08100313,Niedrig,Mittel,Niedrig
Donaustraße,08100314,Erhöht,Erhöht,Mittel
Ganghoferstraße,08100415,Mittel,Mittel,Mittel
Alt-Rixdorf,08100416,Mittel,Mittel,Mittel
Braunschweiger Straße,08100417,Mittel,Erhöht,Mittel
Hertzbergplatz,08100418,Mittel,Mittel,Mittel
Treptower Straße Nord,08100419,Mittel,Erhöht,Mittel
Weiße Siedlung,08100520,Mittel,Erhöht,Mittel
Schulenburgpark,08100521,Mittel,Erhöht,Mittel
Jahnstraße,08200622,Mittel,Stark erhöht,Mittel
Park am Buschkrug,08200623,Mittel,Mittel,Erhöht
Tempelhofer Weg,08200624,Mittel,Erhöht,Mittel
Mohriner Allee Nord,08200725,Erhöht,Niedrig,Stark erhöht
Hufeisensiedlung,08200726,Mittel,Mittel,Mittel
Parchimer Allee Süd,08200727,Mittel,Erhöht,Erhöht
Ortolanweg,08200728,Mittel,Erhöht,Mittel
Britzer Garten,08200729,Mittel,Mittel,Niedrig
Handwerker-Siedlung,08200730,Mittel,Mittel,Mittel
Buckow West,08200831,Mittel,Mittel,Niedrig
Buckow Mitte,08200832,Mittel,Mittel,Erhöht
Buckow Ost,08200833,Mittel,Mittel,Mittel
Gropiusstadt Nord-West,08300934,Mittel,Erhöht,Erhöht
Gropiusstadt Süd-West,08300935,Mittel,Mittel,Mittel
Gropiusstadt Mitte,08301036,Mittel,Stark erhöht,Stark erhöht
Gropiusstadt Süd-Ost,08301037,Mittel,Erhöht,Erhöht
Goldhähnchenweg,08401138,Mittel,Mittel,Niedrig
