PLR_NAME,PLR_ID,overall_n,overall_v,innerfam_partner_n,innerfam_partner_v,youth_n,youth_v
Christburger Straße,03701658,1,Niedrig,1,Niedrig,1,Niedrig
Immanuelkirchstraße,03701659,1,Niedrig,2,Mittel,1,Niedrig
Bötzowstraße,03701660,1,Niedrig,1,Niedrig,1,Niedrig
Jungfernheide/Plötzensee,04100101,3,Erhöht,3,Erhöht,3,Erhöht
Paul-Hertz-Siedlung,04100102,2,Mittel,3,Erhöht,2,Mittel
Olympiagelände,04200203,4,Stark erhöht,1,Niedrig,3,Erhöht
Angerburger Allee,04200204,2,Mittel,2,Mittel,1,Niedrig
Flatowallee,04200205,1,Niedrig,1,Niedrig,1,Niedrig
Kranzallee,04200206,2,Mittel,1,Niedrig,1,Niedrig
Eichkamp,04200207,2,Mittel,1,Niedrig,2,Mittel
Branitzer Platz,04200308,2,Mittel,2,Mittel,2,Mittel
Neu Westend,04200309,1,Niedrig,1,Niedrig,1,Niedrig
Fürstenplatz,04200310,2,Mittel,1,Niedrig,1,Niedrig
Königin-Elisabeth-Straße,04200311,3,Erhöht,2,Mittel,2,Mittel
Schlossgarten,04300412,2,Mittel,2,Mittel,2,Mittel
Klausenerplatz,04300413,2,Mittel,3,Erhöht,1,Niedrig
Schloßstraße,04300414,2,Mittel,1,Niedrig,2,Mittel
Lietzensee,04300415,2,Mittel,1,Niedrig,2,Mittel
Amtsgerichtsplatz,04300416,2,Mittel,2,Mittel,1,Niedrig
Tegeler Weg,04300517,2,Mittel,2,Mittel,2,Mittel
Kaiserin-Augusta-Allee,04300518,2,Mittel,2,Mittel,2,Mittel
Alt-Lietzow,04300619,2,Mittel,2,Mittel,2,Mittel
Spreestadt,04300620,2,Mittel,2,Mittel,1,Niedrig
Richard-Wagner-Straße,04300621,2,Mittel,2,Mittel,2,Mittel
Ernst-Reuter-Platz,04300622,3,Erhöht,3,Erhöht,2,Mittel
Karl-August-Platz,04300623,2,Mittel,2,Mittel,2,Mittel
Savignyplatz,04300624,2,Mittel,2,Mittel,2,Mittel
Güterbahnhof Grunewald,04400725,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche
Bismarckallee,04400726,2,Mittel,2,Mittel,2,Mittel
Flinsberger Platz,04400727,2,Mittel,2,Mittel,1,Niedrig
Hagenplatz,04400728,2,Mittel,2,Mittel,2,Mittel
Hundekehle,04400729,2,Mittel,2,Mittel,1,Niedrig
Forckenbeckstraße,04400830,2,Mittel,2,Mittel,2,Mittel
Messelpark,04400831,2,Mittel,2,Mittel,1,Niedrig
Breite Straße,04400832,1,Niedrig,1,Niedrig,1,Niedrig
Schlangenbader Straße,04400833,2,Mittel,2,Mittel,2,Mittel
