PLR_ID,PLR_NAME,charging_stations,charging_points,combined_power
10300732,Buckower Ring,9.0,10.0,68.0
10300733,Alt-Biesdorf,7.0,10.0,122.0
10300734,Biesdorf Süd,40.0,46.0,2027.0
10400835,Kaulsdorf Nord,2.0,2.0,6.0
10400836,Alt-Kaulsdorf,20.0,23.0,183.0
10400837,Kaulsdorf Süd,14.0,15.0,61.0
10400938,Mahlsdorf Nord,37.0,40.0,293.0
10400939,Alt-Mahlsdorf,10.0,14.0,1987.0
10400940,Elsensee,13.0,16.0,1219.0
10400941,Pilgramer Straße,19.0,20.0,106.0
11100101,Dörfer Malchow-Wartenberg,,,
11100102,Dorf Falkenberg,2.0,4.0,88.0
11100203,Falkenberg Ost,2.0,4.0,44.0
11100204,Falkenberg West,,,
11100205,Wartenberg Süd,1.0,2.0,44.0
11100206,Wartenberg Nord,,,
11100307,Zingster Straße Ost,1.0,1.0,3.0
11100308,Zingster Straße West,,,
11100309,Mühlengrund,,,
11200410,Malchower Weg,2.0,4.0,130.0
11200411,Hauptstraße,15.0,32.0,2520.0
11200512,Orankesee,10.0,21.0,2588.0
11200513,Große-Leege-Straße,3.0,6.0,77.0
11200514,Landsberger Allee,6.0,9.0,391.0
11200515,Weiße Taube,1.0,2.0,44.0
11300616,Hohenschönhauser Straße,,,
11300617,Fennpfuhlpark,1.0,2.0,44.0
11300618,Storkower Bogen,5.0,6.0,722.0
11300619,Rudolf-Seiffert-Park,,,
11300620,Fennpfuhl Ost,1.0,2.0,44.0
11300721,Herzbergstraße,5.0,10.0,192.0
11300722,Rathaus Lichtenberg,5.0,12.0,198.0
11300723,Bornitzstraße,,,
11300724,Roedeliusplatz,1.0,2.0,22.0
11300725,Nibelungenviertel,2.0,4.0,66.0
11300826,Frankfurter Allee Süd,3.0,6.0,944.0
11400927,Victoriastadt,2.0,4.0,66.0
11400928,Nöldnerplatz,3.0,6.0,159.0
11400929,Weitlingkiez,4.0,6.0,88.0
11400930,Zachertstraße,,,
11400931,Massower Straße,2.0,4.0,88.0
11401032,Rosenfelder Ring,,,
11401033,Gensinger Straße,,,
11401034,Tierpark,1.0,2.0,44.0
11401135,Dolgenseestraße,1.0,2.0,22.0
11401136,Volkradstraße,4.0,6.0,66.0
11401137,Erieseering,1.0,3.0,122.0
11501238,Rummelsburg,2.0,4.0,44.0
11501339,Karlshorst West,2.0,4.0,44.0
11501340,Karlshorst Nord,2.0,4.0,66.0
11501341,Karlshorst Süd,,,
12100101,Letteplatz,2.0,4.0,125.0
12100102,Hausotterplatz,,,
12100103,Breitkopfbecken,,,
12100204,Schäfersee,2.0,4.0,44.0
12100205,Teichstraße,4.0,8.0,169.0
12100206,Humboldtstraße,,,
12200307,Reinickes Hof,,,
12200308,Meller Bogen,3.0,3.0,9.0
12200309,Scharnweberstraße,3.0,7.0,237.0
12200310,Klixstraße,2.0,2.0,350.0
12200411,Schumacher-Quartier,3.0,3.0,9.0
12200412,Waldidyll/Flughafensee,8.0,16.0,352.0
12200413,Tegel Süd,8.0,10.0,133.0
12200414,TXL,,,
12200515,Alt-Tegel,2.0,4.0,44.0
12400616,Konradshöhe/Tegelort,,,
12400617,Alt-Heiligensee,,,
12400618,Heiligensee Nord,,,
12400619,Heiligensee,,,
12400720,Frohnau West,35.0,35.0,105.0
12400721,Frohnau Ost,10.0,10.0,30.0
12400722,Hermsdorf West,23.0,24.0,666.0
12400723,Hermsdorf Ost/Waldsee,15.0,15.0,45.0
12500824,Ziekowstraße/Freie Scholle,4.0,5.0,31.0
12500825,Borsigwalde,11.0,11.0,33.0
12500926,Wittenau Mitte,2.0,3.0,723.0
12500927,Wittenau Nord,2.0,4.0,88.0
12500928,Waidmannslust,5.0,5.0,15.0
12500929,Lübars,,,
12500930,Wittenau Süd,10.0,10.0,30.0
12601031,Lübarser Straße,5.0,11.0,349.0
12601032,Rollbergesiedlung,,,
12601133,Treuenbrietzener Straße,2.0,5.0,197.0
12601134,Märkisches Zentrum,,,
12601235,Dannenwalder Weg,,,
12601236,Schorfheidestraße,,,
