PLR_ID,PLR_NAME,EW,KI_08,KI_14,KI_15
07070702,Alt-Lichtenrade/Töpchiner Weg,10895,11.25,1.92,41.57
07070703,John-Locke-Straße,8485,42.89,1.69,39.78
07070704,Nahariyastraße,8431,20.63,1.57,35.76
07070705,Franziusweg/Rohrbachstraße,6978,0,2.17,47.7
07070706,Horstwalder Straße/Paplitzer Straße,3859,10.99,1.88,40.81
07070707,Wittelsbacherstraße,2964,0,2.3,50.8
08010115,Hasenheide,1010,0,1.61,40.77
08010116,Wissmannstraße,3542,13.6,1.52,34.98
08010117,Schillerpromenade,15688,6.46,1.62,34.36
08010118,Silbersteinstraße,12240,9.58,1.4,30.37
08010211,Flughafenstraße,9668,7.37,1.56,34.82
08010212,Rollberg,7451,68.21,1.22,31.15
08010213,Körnerpark,12288,5.07,1.53,33.12
08010214,Glasower Straße,8524,2.31,1.42,30.12
08010301,Reuterkiez,27007,4.65,1.64,36.66
08010302,Bouchéstraße,3868,0,1.9,36.54
08010303,Donaustraße,8264,3.26,1.54,33.4
08010404,Rixdorf,23011,6.66,1.55,34.35
08010405,Hertzbergplatz,8811,0.91,1.67,34.18
08010406,Treptower Straße Nord,7100,4.3,1.47,29.25
08010407,Gewerbegebiet Ederstraße,777,20.3,1.76,35.88
08010508,Weiße Siedlung,5767,6.38,1.63,26.03
08010509,Schulenburgpark,9172,37.02,1.26,27.16
08010510,Gewerbegebiet Köllnische Heide,448,0,1.05,27.69
08020619,Buschkrugallee Nord,11672,7.18,1.47,29.79
08020620,Tempelhofer Weg,9329,26.21,1.59,32.76
08020621,Mohriner Allee Nord,2341,0,2.06,45.58
08020622,Parchimer Allee,14254,14.1,1.74,35.39
08020623,Ortolanweg,1253,0,1.55,34.7
08020624,Britzer Garten,1404,0,1.88,39.05
08020625,Handwerker-Siedlung,3321,8.27,1.98,40.15
08020726,Buckow West,8320,15.4,1.87,40.23
08020727,Buckow Mitte,11578,13.93,1.89,38.41
08020728,Buckow Ost,8698,26.6,1.77,37.06
08030829,Gropiusstadt Nord,12534,0,1.61,34.1
08030830,Gropiusstadt Süd,7303,0,1.63,38.4
