PLR_NAME,PLR_ID,EW,S1,S3,S4,D1,D3,D4,SI_N,SI_V,DI_N,DI_V,SDI_V,KI_01,KI_02,KI_03,KI_04,KI_05,KI_16,KI_06,KI_17,KI_07,KI_09,KI_10,KI_11,KI_12,KI_13
George-Grosz-Platz,04501041,5597,2.5869,5.52081,11.79673,0.55644,-0.00229,1.72606,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.33,24.37,7.42,65.56,46.65,28.6,-0.44,58.96,7.63,0,63.87,43.96,-1.14,-23.09
Breitscheidplatz,04501042,3581,4.84998,10.05306,31.67082,2.39426,1.48394,11.46357,2,mittel,5,negativ,"Status mittel , Dynamik negativ",4.31,27.24,9.1,82.06,57.33,37.95,-1.55,64.53,18.5,0,63.87,30.9,-1.5,-2.24
Preußenpark,04501043,11048,3.1263,6.3903,11.70124,0.83688,0.42444,3.12981,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.07,26.48,8.45,69.64,45.62,26.37,1.23,61.14,10.44,0,64.79,25.08,1.36,4.98
Ludwigkirchplatz,04501044,5283,3.33137,7.1361,15.2,0.13713,-0.13324,0.30638,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.68,31.61,6.69,60.53,42.74,24.83,0.19,55.72,9.74,0,65.97,22.93,0.08,-7.92
Schaperstraße,04501045,9334,3.55883,7.45661,16.68533,0.28146,-0.14454,-1.44466,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.86,30.84,7.26,67.5,48.29,30.19,0.06,60.18,11.64,0,64.81,27.65,0.12,-0.87
Barstraße,04501146,4715,5.30003,10.90138,28.482,1.70516,-2.02408,-4.42535,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.59,29.74,8.2,69.99,45.77,28.72,1.47,56.43,23.54,0,60.35,33.84,0.79,-3.34
Leon-Jessel-Platz,04501147,5625,2.94338,8.39111,19.06977,0.4945,-0.16648,1.92233,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.6,28.34,9.17,61.82,43.36,25.72,0.61,60.82,14.76,0,65.24,26.11,0.4,-4.93
Brabanter Platz,04501148,4436,4.21121,9.98647,24.05303,0.82401,0.18125,0.46432,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.9,31.76,8.77,66.41,44.91,25.29,0.79,61.68,19.78,0,67.06,25.2,-1.19,-1.4
Nikolsburger Platz,04501149,9834,3.50796,6.83344,15.83412,0.7962,-0.17685,2.2599,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.59,27.65,6.78,63.47,40.56,24.59,-0.24,60.26,13.84,0,66.79,23,-0.19,-2.15
Wilhelmsaue,04501150,3071,3.53714,6.34972,11.31387,0.47279,-0.55699,-1.71134,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0,22.06,6.72,59.12,38.33,22.63,1.13,64.17,12.66,0,67.24,25.48,1.31,-2.83
Hildegardstraße,04501151,7572,2.63969,5.8373,9.64912,0.44704,0.10854,-0.6342,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.69,28.18,6.6,46.67,33.39,19.14,0.03,55.56,11.18,0,70.24,20.59,-0.79,-1.48
Prager Platz,04501152,6913,3.77607,6.52394,9.95608,0.60078,-0.62607,-2.90942,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.21,26.32,6.69,61.35,43.61,26.11,0.33,59.11,9.41,0,67.11,24.72,-0.51,-9.22
Babelsberger Straße,04501153,7489,3.82398,9.88116,19.7411,0.50895,0.84006,6.06787,2,mittel,5,negativ,"Status mittel , Dynamik negativ",1.88,28.38,10.75,66.98,45.33,26,0.49,63.79,17.03,0,61.37,32.06,1.42,0.15
Hakenfelde Nord,05100101,4079,1.70691,5.61412,8.81295,0.25188,0.47878,-0.90365,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.27,16.1,3.39,33.93,17.92,8.07,1.51,66.87,19.93,2.28,62.63,20.26,4.14,11.07
Am Forstacker,05100102,4390,6.05596,12.8246,38.71636,0.91246,-0.9762,-1.9022,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.26,44.1,5.01,51.18,24.4,14.58,1.54,62.03,36.52,0,68.86,17.86,0.21,-0.62
Mertensstraße,05100103,5873,6.49864,14.89869,32.8907,0.6241,-2.5287,-7.00743,2,mittel,1,positiv,"Status mittel , Dynamik positiv",5.4,25.71,4.37,64.79,46.11,28.5,4.09,62.54,25.7,5.41,35.67,36.23,15.54,19.69
Maselake,05100104,4830,5.73937,12.87785,29.77893,2.20914,-1.08057,-2.18393,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.23,26.35,3.37,65.13,39.65,18.39,0.29,72.07,29.61,0,64.07,21.01,2.91,3.72
Amorbacher Weg,05100105,7608,3.85173,8.26761,19.27024,0.78164,-0.95958,0.60508,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.15,33.95,3.89,36.34,19.87,9.29,0.41,68.46,23.43,0,69.01,17.5,-0.14,-2.94
Griesingerstraße,05100206,3619,9.55137,19.56342,43.1918,2.77004,-1.39002,4.71897,3,niedrig,5,negativ,"Status niedrig , Dynamik negativ",7.83,34.99,7.53,68.55,44.13,24.9,0.26,78.91,42.37,95.33,64.76,19.93,2.59,0.19
An der Tränke,05100207,2314,1.06572,2.63613,7.98319,-0.33521,-0.62918,-1.02582,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.11,24.63,0.78,46.53,27.27,10.59,-0.89,60,7.73,99.87,63.19,25.68,9.26,1.4
Im Spektefeld,05100208,10703,9.54743,21.88172,49.4863,2.01787,-0.72263,-2.66591,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",6.44,34.26,6.6,68.75,44.34,24.37,3.92,64.65,50.38,21.39,66.66,18.26,0.63,6.71
Westerwaldstraße,05100209,11547,9.51526,22.91504,48.57445,1.40153,-2.93278,-1.80376,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",7.05,34.34,10.36,72.72,52.3,24,1.42,59.87,42.39,99.33,71.74,15.39,-0.19,-1.09
Germersheimer Platz,05100210,7709,8.03236,19.70424,46.30682,0.68997,-3.34177,-5.67058,3,niedrig,1,positiv,"Status niedrig , Dynamik positiv",4.76,45.2,8.38,62.27,37.53,23.13,2.48,61.86,36.54,100,65.84,21.05,0.07,-4.12
An der Kappe,05100211,6068,4.46429,9.24522,25.62674,1.46794,-0.34023,2.86812,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.61,26.17,2.53,59.02,33.5,16.38,1.54,67.3,31.77,22.78,73.46,17.45,0.49,4.99
Eckschanze,05100312,4025,7.06425,17.3913,39.19156,0.90706,-3.06668,-5.31016,2,mittel,1,positiv,"Status mittel , Dynamik positiv",3.14,34.91,10.49,67.22,41.02,25.99,3.74,61.28,29.82,100,62.67,26.56,0.66,-7.66
Eiswerder,05100313,5756,8.16632,19.14524,42.08791,1.40584,-2.48828,-6.97969,3,niedrig,1,positiv,"Status niedrig , Dynamik positiv",3.95,27.48,5.19,76.93,52.1,26.49,2.33,72.46,34.61,63.13,56.14,20.43,3.39,1.89
Kurstraße,05100314,7335,10.52531,25.31697,57.79889,1.26326,-2.96272,-2.53234,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",6.18,31.45,15.89,77.34,58.8,42.75,1.96,61.29,41.23,87.76,56.28,27.37,-0.94,-3.43
Ackerstraße,05100315,6753,7.66871,18.56952,43.46473,1.07292,-1.16732,-0.13031,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",6.09,35.88,10.68,67.37,45.03,28.91,2.32,64.55,36.06,100,61.46,25.27,-1.64,-1.52
Carl-Schurz-Straße,05100316,10341,7.34789,17.78358,44.01679,1.02139,-1.49586,0.40415,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.46,40.62,9.32,58.67,40.82,22.29,0.29,59.87,33.21,51.96,65.74,22.47,-0.21,-5.97
Freiheit,05100317,3670,7.28583,16.13079,35.26405,2.70119,2.56187,12.39716,2,mittel,5,negativ,"Status mittel , Dynamik negativ",3.71,28.93,8.72,74.52,47.93,36.68,-0.23,78.53,32.7,100,55.53,33.73,-0.04,-5.94
Isenburger Weg,05200418,3839,1.02264,1.92759,3.84615,0.10294,-0.19566,-1.05581,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.65,16.36,0.69,41.81,22.12,6.64,0.97,60.39,6.69,99.53,78.57,13,0.15,9.46
Am Heideberg,05200419,1694,3.35968,5.48996,9.52381,0.64065,-0.50411,-0.93371,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0,38.58,2.24,12.22,6.26,1.71,0.17,65.52,12,100,78.34,12.66,0.56,0
Staakener Straße,05200420,5780,3.20391,6.95502,17.75837,0.04908,-1.0792,-1.57938,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.72,19.81,2.7,50.89,31.16,14.34,-1.57,67.55,29.42,83.81,72.69,20.22,-0.97,-1.63
Spandauer Straße,05200421,4386,5.38433,11.10351,26.50771,0.95302,-0.94112,2.13098,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.87,36.56,3.47,41.03,28.52,17.31,1.32,79.58,31.68,70.22,64.01,22.04,-0.13,-0.51
Werkstraße,05200422,1057,2.98103,8.23084,22.77228,1.36552,1.00473,6.6649,2,mittel,5,negativ,"Status mittel , Dynamik negativ",0,25.62,5.98,33.19,19.68,8.8,-1.22,68.82,58.14,81.36,57.09,30.4,11.25,-1.63
Magistratsweg,05200423,6606,8.77376,19.98183,48.55491,0.89787,-1.12092,-3.33698,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",4.7,43.88,5.91,55.78,33.33,18.53,3.71,60.62,41.86,100,70.01,16.57,1,8.83
Döberitzer Weg,05200524,3367,1.93407,4.3065,9.84456,0.48479,0.30172,1.30597,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.71,16.3,1.17,37.23,28.78,11.38,2.14,64.23,19.31,99.7,68.8,19.67,1.64,-5.58
Pillnitzer Weg,05200525,2431,0.65574,6.08803,5.89812,0.04099,-0.03085,0.12304,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,16.1,9.01,48.24,25.55,8.8,2.77,67.29,9.23,100,64.11,19.06,3.32,4.85
Rudolf-Wissell-Großsiedlung,05200526,5734,12.7732,32.97872,67.36754,0.35471,-3.89997,-7.25683,4,sehr niedrig,1,positiv,"Status sehr niedrig , Dynamik positiv",9.19,42.01,10.27,76.28,56.68,38.96,1.16,65.04,52.35,100,67.23,17.41,-0.15,-1.88
Maulbeerallee,05200527,11620,15.37595,38.87263,71.875,2.01607,-1.88602,-0.4848,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",10.26,38.9,17.11,77.76,61.93,33.66,3.04,64.1,64.79,100,65.63,15.65,-1.47,1.13
Weinmeisterhornweg,05200528,7019,3.2819,8.22054,20.23047,0.33788,0.28426,0.92491,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.16,27.21,4.32,48.03,26.46,13.19,2.39,58.86,23.66,58.07,73.14,14.46,0.11,1.64
Borkumer Straße,05200629,7858,6.04106,13.08221,36.30505,0.86024,-1.96215,-4.40596,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.18,32.4,7.73,68.44,39.9,24.31,3.18,66.07,26.63,96.72,59.22,26.3,1.91,-3.19
Wilhelmstadt West,05200630,9806,6.96296,15.103,38.36066,1.51909,-0.20969,2.93072,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.47,33.67,8.39,58.15,36.82,22.9,1.74,62.96,33.78,100,62.06,24.71,-0.55,-5.94
Wilhelmstadt Ost,05200631,8462,7.33975,15.90641,39.47858,1.15142,-1.91643,-1.82577,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.65,37.83,8.42,62.46,38.12,24.07,2.57,60.33,33.44,100,63.59,23.44,0.13,-0.83
Tiefwerder,05200632,3739,7.38173,20.88794,47.46318,0.4645,-1.58367,-1.40779,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",6.28,35.59,11.98,70.34,47.21,29.85,1.57,73.57,39.17,99.84,64.67,22.54,-0.97,4.48
Graetschelsteig,05200633,2003,7.49306,13.47978,38.66171,1.76822,-0.38597,0.90237,2,mittel,3,stabil,"Status mittel , Dynamik stabil",7.59,42.86,3.83,51.26,27.46,12.53,1.12,66.53,41.1,100,72.74,13.58,0.29,3.38
Börnicker Straße,05200634,4436,2.4882,3.6294,8.05195,-0.03135,0.55248,3.36445,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0,23.66,1.69,35.43,16.25,7.64,0.13,53.1,18.92,1.53,73.82,13.57,0.89,1.96
Haveleck,05300735,1925,3.67751,8.93506,17.25888,2.97751,5.13389,13.90067,2,mittel,5,negativ,"Status mittel , Dynamik negativ",3.19,18.55,6.84,74.03,61.45,19.48,2.52,84,23.12,100,57.05,34.76,19.9,49.48
Zitadellenweg,05300736,3667,6.42015,18.32561,36.88119,1.07122,-1.54194,-2.52401,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.07,24.44,6.78,66.87,53.67,23.04,1.58,59.88,34.69,16.39,67.16,16.78,0.52,8.34
Gartenfelder Straße,05300737,10901,8.21663,17.64976,43.82184,1.40309,-1.39431,-2.19654,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",4.83,39.05,8.36,66.85,43.72,21.48,2.1,56.13,34.57,48.79,68.62,17.47,1.05,-0.86
Gartenfeld,05300838,21,,,,,,,,,,,,,,,,,,,,,,,,,
Rohrdamm,05300839,7660,6.42941,15.70496,37.92251,1.0003,-2.03741,-3.7583,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.16,35.36,8.01,66.07,48.96,28.76,3.16,68.45,31.4,62.25,67.27,22.8,1.91,-0.91
Nonnendammallee,05300840,486,4.5045,10.28807,32.07547,1.6876,-4.36037,-23.69376,2,mittel,1,positiv,"Status mittel , Dynamik positiv",0,0,0,64.62,49.38,26.95,5.28,63.36,19.83,100,73.13,15.67,-2.67,-16.49
Siemensdamm,05300841,4573,6.03609,13.33916,30.59581,1.51957,-1.8942,-5.66962,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.86,28.6,7.99,67.91,46.6,26.07,1.87,62.84,26.08,100,58.96,25.02,-1.53,-2.01
Alt-Gatow,05400942,3642,2.21176,3.84404,8.37209,-0.17732,-3.39363,-11.29083,2,mittel,1,positiv,"Status mittel , Dynamik positiv",2.31,23.77,1.66,37.5,20.43,8.76,-6.64,65.83,17.27,0,76.74,22.61,-3.57,-2.07
Jägerallee,05400943,10315,0.78576,1.87106,2.29333,-0.09085,0.01366,-0.63161,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,18.29,1.13,29.96,18.54,6,0.21,51.37,8.4,0,72.67,15.58,1.57,11.12
Kladower Damm,05400944,2198,0.66834,4.27662,2.6616,0.0801,3.13767,1.49881,1,hoch,5,negativ,"Status hoch , Dynamik negativ",0,19.19,3.25,31.68,17.06,6.46,1.27,69.01,10.81,0,75.74,12.01,0.46,12.32
Kafkastraße,05400945,3682,1.32316,1.81966,3.80952,0.2897,0.32306,-1.24311,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,21.1,0,31.39,15.94,6.03,0.94,65.32,9.95,0,73.76,13.18,1.39,7.54
Fichtenberg,06100101,6988,1.62098,3.59187,6.73712,0.15534,0.4902,2.16922,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.56,22.05,2.8,44.88,26.89,13.72,0.08,59.75,8.32,0,71.12,17.16,0.91,1.61
Schloßstraße,06100102,8808,3.19552,6.13079,13.09735,0.52755,-0.65961,0.14771,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.99,26.66,5.23,55.62,36.46,19.54,0.19,60.66,14.84,0,66.76,21.04,-0.55,-4.65
Markelstraße,06100103,6281,2.5977,4.71263,6.76203,0.7366,-0.51149,-1.40918,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.17,25.17,6.11,47.83,32.72,16.76,1.16,61.54,11.71,0,71.68,18.41,-0.62,-9.6
Munsterdamm,06100204,6887,4.04587,7.66662,16.58228,0.90913,-0.59772,0.12188,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.38,32.49,5.63,55.27,35.88,18.5,2.12,64.21,17.22,0,71,19.05,0.15,-3.5
Südende,06100205,9881,4.13885,7.51948,17.69841,1.10311,-0.73665,-0.55036,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.11,28.38,5.9,51.37,33.68,17.39,0.98,64.96,16.22,0,66.47,20.28,0.04,0.36
Stadtpark,06100206,7694,3.30477,6.8235,11.27983,0.72703,-0.93635,-2.90236,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.98,30.01,6.15,46.21,30.41,15.95,0.89,64.06,18.9,0,68.11,18.82,0.32,-4.06
Mittelstraße,06100207,8008,3.5927,6.58092,14.88033,0.38636,-0.88405,-1.93481,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.2,28.57,5.85,54.88,34.49,18.46,1.65,68.54,14.27,0,66.19,21.64,0.74,-4.79
Bergstraße,06100208,6824,3.11493,6.3306,9.97475,0.37639,-1.02606,-1.86566,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.83,26.2,8.64,46.89,31.46,16.41,0.95,62.77,11.15,0,65.8,20.47,0.46,-3.2
Feuerbachstraße,06100209,9339,3.59431,6.57458,13.23268,1.06366,-1.0552,-1.54993,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.19,26.27,6.12,57.65,35.73,19.24,1.4,61.71,15.95,0,66.13,20.02,0.63,-3.26
Bismarckstraße,06100210,4868,3.87097,7.66228,14.91086,0.80791,-0.61875,-0.39859,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.03,29.89,6.33,43.63,29.21,15.59,0.59,67.85,16.31,0,68.14,18.27,-0.25,-2.22
Alt-Lankwitz,06200311,4937,3.05556,7.61596,14.21488,0.40988,-0.7869,-2.48108,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.72,30.97,3.86,41.3,24.27,11.46,0.62,52.47,15.75,0,72.69,14.77,-0.51,-0.2
Komponistenviertel Lankwitz,06200312,6097,2.49794,4.52682,9.93289,0.51897,0.01434,-1.19516,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.39,20.33,2.87,51.33,31.88,18.66,7.06,74.6,13.94,0,64.84,24.78,5.4,13.82
Lankwitz Kirche,06200313,7410,5.54106,10.09447,24.33333,1.02994,-0.88395,-0.75103,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.6,37.09,6.61,53.02,32.32,16.96,1.21,64.44,21.12,0,68.52,17.63,0.32,-3.66
Kaiser-Wilhelm-Straße,06200314,7313,4.70271,9.72241,22.45989,0.56926,-0.79368,-1.16584,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.16,33.76,6.58,50.05,30.41,15.26,0.69,66.58,23.16,0,65.24,19.16,0.66,-1.44
Gallwitzallee,06200315,5841,4.9217,8.61154,15.33742,0.82311,-0.90016,-3.82204,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.64,29.8,6.55,50.47,29.5,14.98,1.82,66.29,18.85,0,67.4,15.5,0.86,-2.35
Belßstraße,06200316,5558,6.08622,11.87478,31.98324,1.8054,-0.96061,1.42768,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.08,35.46,6.57,53.96,42.26,23.44,1.42,66.92,17.86,27.94,66.29,24.39,1.68,-0.15
Lankwitz Süd,06200317,6402,2.25681,4.85786,11.2232,0.5242,-0.765,-1.6924,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.09,26.91,2.91,30.73,20.51,9.01,0.75,67.07,13.15,16.71,75.62,15.79,0.48,6.91
Landweg,06200418,0,,,,,,,,,,,,,,,,,,,,,,,,,
Thermometersiedlung,06200419,4636,7.18076,14.51682,35.79278,0.45104,-2.78549,-8.5186,2,mittel,1,positiv,"Status mittel , Dynamik positiv",4.75,31.44,8.7,71.74,50.41,26.38,1.26,73.83,20.25,86.89,72.86,17.8,0.24,-4.79
Lichterfelde Süd,06200420,7055,4.47164,8.92984,20.92772,0.68176,-1.58735,-3.82476,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.98,30.78,5.11,51.52,29.01,15.72,0.68,72.32,22.85,50.7,65.27,20.25,1.38,1.93
Königsberger Straße,06200421,8349,3.38115,6.4918,16.79688,0.85874,0.18897,0.27947,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.17,30.19,3.11,43.28,26.6,14.68,1.34,62.64,23.25,0,67.82,21.24,1.71,4.09
Oberhofer Platz,06200422,7062,2.35682,3.97904,10.5673,0.74168,-0.24926,1.0487,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.71,24.17,1.72,33.98,21.82,12.73,1.43,65.85,17.25,0,72.22,20.58,-0.42,3.4
Schütte-Lanz-Straße,06200423,8627,3.01084,7.09401,19.78477,0.44879,-0.06634,0.02532,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.99,23.9,2.63,47.1,27.19,13.05,1.52,64.74,29.34,0,70.62,14.98,1.45,5.85
Berlepschstraße,06300524,5670,2.43828,4.14462,10.02907,0.97843,-0.69184,-1.76718,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.77,28.66,2,38.86,24.07,14.46,0.32,78.29,17.04,0,72.65,20.78,-0.02,5.19
Zehlendorf Süd,06300525,5616,4.11534,8.67165,19.54023,0.91579,0.0369,0.38818,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.55,38.38,5.27,44.07,24.88,13.39,1.46,66.36,30.72,0,67.34,16.84,0.09,-1.88
Zehlendorf Mitte,06300526,3311,2.30947,5.01359,9.78723,0.67877,-0.17651,2.15514,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0,26.74,3.55,46.64,32.04,16.91,-0.35,70,12.5,0,69.14,19.38,-0.04,6.21
Sundgauer Straße,06300527,8385,2.49476,5.19976,9.684,0.86173,0.12848,-0.17226,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.68,30.03,3.53,52.33,28.9,14.68,0.68,69.05,13,0,66.22,18.91,-0.54,-1.61
Teltower Damm,06300528,11050,2.29885,2.25339,4.57064,0.99624,-0.31396,-0.36763,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.21,23.45,1.05,39.37,23.38,11.02,0.18,64.53,11.15,0,72.21,15.37,1.35,3.88
Botanischer Garten,06300629,7088,3.23702,4.54289,8.55346,1.12511,-0.78913,-1.18212,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.37,25.44,3.08,41.17,28.26,15.22,0.14,56.72,11.45,0,70.3,18.42,-0.01,-2.84
Hindenburgdamm,06300630,5612,4.83696,8.76693,21.73913,1.39258,0.89665,5.82273,2,mittel,5,negativ,"Status mittel , Dynamik negativ",3.39,25.09,4.08,63.79,39.26,24.91,6.31,72.89,24.14,0,63.39,29.02,3.8,11.59
Goerzwerke,06300631,3152,1.86788,3.96574,8.99183,0.17456,-0.62053,-2.80442,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,23.36,2.71,43.27,38.36,27.73,2.1,69.22,4.78,3.2,60.49,29.14,0.8,9.45
Schweizer Viertel,06300632,13747,2.34884,2.95337,4.23768,0.71393,-0.66118,-1.82701,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.13,16.81,2.02,44.83,29.08,13.41,-0.29,69.63,14.11,0,65.67,21.59,0.65,2.57
Augustaplatz,06300633,12046,3.34966,4.82318,11.65414,0.83312,-0.51758,-0.15641,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.14,24.43,2.45,39.14,25.53,13.76,0.4,64.27,18.89,0,69.56,16.45,-0.41,1.21
Lichterfelde West,06300634,8511,1.54743,2.89038,5.28053,0.40412,0.07928,0.74244,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,20.87,2.24,38.49,24.25,12.85,0.26,61.7,11.1,0,69.9,16.11,0.38,2.14
Wannsee,06400735,10126,1.39421,2.26151,3.98323,0.20271,-0.25655,-0.78187,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,19.98,1.66,34.45,22.65,12.23,0.47,67.29,6.8,0,70.03,22.94,0.16,-0.41
Düppel,06400736,5234,1.50968,4.33703,6.46388,0.47656,-0.00369,0.53971,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.75,25.44,2.72,32.26,21.07,8.62,-3.28,72.28,13.07,0,77.17,19.24,-2.07,6.35
Nikolassee,06400737,11498,1.46976,2.89616,3.97805,0.26816,0.61039,-0.07789,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.86,23.17,2.19,34.25,31.5,22.19,2.1,73.3,4.26,0,63.42,29.41,2.31,8.56
Krumme Lanke,06400838,7511,0.95808,1.53109,1.78197,0.13532,-0.08542,-0.08138,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.42,20.11,1.47,30.59,18.84,9.03,-0.63,61.06,4.5,0,74.56,15.16,0.22,11.95
Fischerhüttenstraße,06400839,5278,1.49701,3.31565,5.47753,0.25233,0.49058,1.10435,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,24.4,2.37,41.56,23.3,11.27,0.31,56.97,7.52,0,73.67,14.81,0.36,6.16
Fischtal,06400840,7266,1.43698,2.75255,4.16667,0.2288,-0.29681,-0.77425,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,27.62,2.47,26.28,16.86,8.24,0.03,61.77,6.15,0,76.17,13.93,0.17,1.82
Zehlendorf Eiche,06400841,5958,2.27964,3.96106,7.64075,0.21778,-0.07133,1.03698,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0,24.82,2.5,42.16,25.11,12.39,0.22,70.46,10.67,0,66.47,17.91,1.83,5.98
Hüttenweg,06400842,4810,0.7838,2.09979,3.75134,0.19091,0.12808,0.63306,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,21.21,2.45,51.37,37.59,14.49,-0.1,71.59,3.86,0,60.11,19.77,1.32,4.63
Thielallee,06400843,4902,0.70258,1.40759,0.91185,0.33834,0.12733,-0.62446,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.67,18.93,1.43,40.1,30.62,18.28,-0.29,71.54,1.96,0,72.66,17.43,-0.62,5.33
Dahlem,06400844,7204,1.09576,2.01277,4.39673,0.09233,0.20716,0.38025,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,19.21,1.18,49.43,32.57,17.35,0.18,68.16,7.61,0,66.21,20.94,1.55,13.07
Wittenbergplatz,07100101,9808,4.74607,11.04201,21.19565,1.01626,-0.34621,0.48368,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.47,30.16,12.15,71.2,49.01,28.52,-1.6,62.14,17.5,0,63.47,29.02,-0.22,-5.54
Kalckreuthstraße,07100102,8675,6.65911,16.87608,39.3586,1.93235,-1.64537,-2.4209,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.95,25.87,19.34,73.65,51.05,33.58,-0.54,65.53,29.08,0,62.19,33.67,-0.44,-5.6
Frobenstraße,07100103,7712,7.58412,21.90093,45.05051,1.97089,-1.26277,-2.13396,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",4.42,27.57,19.28,81.15,63.68,36.4,-1.08,74.39,32.73,62.05,68.26,23.27,-0.6,1.5
Barbarossaplatz,07100204,10468,3.23443,8.19641,15.58966,0.89563,-0.34602,0.45022,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.28,27.36,9.04,55.2,40.06,23.68,-0.39,60.02,14.03,0,66.4,25.02,-1.16,-3.65
Alvenslebenstraße,07100205,5257,9.57762,23.79684,45.16129,2.72631,-2.68363,-7.79501,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",6.04,33.08,25.25,86.18,67.91,38.31,-2.97,73.78,35.68,78.66,72.33,21.27,-2.95,-2.17
