PLR_NAME,PLR_ID,EW,S1,S3,S4,D1,D3,D4,SI_N,SI_V,DI_N,DI_V,SDI_V,KI_01,KI_02,KI_03,KI_04,KI_05,KI_16,KI_06,KI_17,KI_07,KI_09,KI_10,KI_11,KI_12,KI_13
Hundsteinweg,07501134,10584,4.1564,8.62623,23.65115,1.09418,-1.12735,-2.67679,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.92,23.44,2.83,53.54,30.16,13.96,0.25,69.55,31.13,3.26,73.1,15.92,0.39,-1.36
Birnhornweg,07501135,2233,2.27774,4.1648,10.48387,1.11916,-0.07656,-1.82956,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.76,15.26,1.12,40.97,23.96,9.85,-0.34,63.18,20,0,77.45,14.18,-0.66,10.1
Marienfelder Allee Nordwest,07601236,10193,8.62315,19.73904,48.47188,2.7624,-0.50804,3.87151,3,niedrig,5,negativ,"Status niedrig , Dynamik negativ",5.84,28.13,6.19,66.62,42.85,23.84,1.04,77.94,54.56,34.67,67.15,22.75,-0.1,0.82
Kirchstraße,07601237,4740,2.13425,4.68354,10.69079,0.59051,0.13325,1.73314,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.32,19.65,2.61,42.03,25.89,11.35,1.48,62.27,17.68,0.99,73.92,14.99,0.58,0.01
Marienfelde Nordost,07601238,2869,5.35602,12.4085,37.29604,1.45174,-1.78234,-2.90247,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.66,31.23,2.11,71.24,39.98,17.81,0.89,67.51,38.68,97.7,73.16,15.21,0.53,-2.49
Tirschenreuther Ring West,07601339,5749,8.0481,17.75961,41.01655,2.31639,-0.67317,-1.56014,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",2.99,35.2,7.83,60.04,40.16,15.01,0.99,68.6,41.98,8.38,73.14,11.22,-0.33,0.6
Tirschenreuther Ring Ost,07601340,6429,6.72119,17.80992,41.68443,1.7378,-1.03066,-0.13572,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.13,34.53,7.86,61.04,42.62,17.34,1.79,64.48,38.39,4.62,72.01,16.24,0.25,-0.41
Diedersdorfer Weg,07601341,2284,4.35109,9.67601,17.54967,0.58843,0.61708,4.82882,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4,21.03,7.86,54.25,31.35,16.42,2.35,42.93,34.1,90.76,72,21.59,-0.22,4.51
Kettinger Straße,07601442,10498,2.86487,6.1345,15.0037,0.43009,-0.84821,-2.08967,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.11,28.54,2.1,40.2,23.13,10.48,0.72,62.91,27.01,17.64,73.01,15.83,0.57,5.32
Töpchiner Weg,07601443,10895,3.09593,8.8022,20.83071,0.75807,0.25769,2.61901,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.77,26.81,3.31,41.58,23.14,9.14,0.96,62.15,29.64,0.39,71.44,14.87,0.22,3.93
