PLR_ID,PLR_NAME,electricity_mwh_2022,electricity_mwh_2021,electricity_mwh_2020,district_heating_mwh_2022,district_heating_mwh_2021,district_heating_mwh_2020,gas_mwh_2022,gas_mwh_2021,gas_mwh_2020
11400927,Victoriastadt,12653.951000000001,13362.673999999999,13624.588,0.0,0.0,0.0,20153.204999999998,42293.922,35335.007
11400928,Nöldnerplatz,5454.784,7192.387000000001,7433.018,8008.918000000001,8672.442,5747.121999999999,6218.562,8354.3,7803.702
11400929,Weitlingkiez,19450.394,18803.62,19516.602,14834.975999999999,17321.89,15469.165,56175.36,65774.679,58029.268
11400930,Zachertstraße,5174.726,4785.129,4626.7339999999995,10788.911,11797.148000000001,10138.697,7572.954,10582.159,9697.162
11400931,Massower Straße,9189.452000000001,9124.17,8993.86,17417.223,19359.677,18445.628,7170.075,7812.283,7084.853
11401032,Rosenfelder Ring,7914.08,7618.83,7805.871999999999,13198.967,15166.154999999999,12926.176000000001,6143.87,7851.427,7293.110000000001
11401033,Gensinger Straße,8580.99,8606.895,8467.301,10459.294,11945.804,17496.653,1437.532,1656.8639999999998,1537.816
11401034,Tierpark,4962.196,4682.026,4776.013,7931.357,8940.744999999999,7766.842,25009.285000000003,27196.906,26643.495
11401135,Dolgenseestraße,12940.878,11887.965,10410.617,32581.184,37223.189,31209.902000000002,0.0,2102.135,2095.575
11401136,Volkradstraße,9996.879,9860.631,9791.247,23705.454,28210.574,25149.861,4391.357,5676.583,5249.466
11401137,Erieseering,13806.894,14104.689,14836.763,34382.21,39493.077,35500.891,1872.704,1488.295,1963.204
11501238,Rummelsburg,35749.029,40157.212,36190.792,16958.175,19497.654000000002,15064.447,1453.72,13149.377,15688.568000000001
11501339,Karlshorst West,13456.574,12460.255000000001,12092.129,5526.1810000000005,6247.421,5768.599,38491.047,49562.193,42890.935
11501340,Karlshorst Nord,17131.138,17508.424,16573.379,369.487,424.329,390.574,50958.957,62919.985,54739.687
11501341,Karlshorst Süd,10861.443,9947.534,9705.334,2018.288,1328.55,0.0,41351.695,50019.69,44563.802
12100101,Letteplatz,17876.882,18147.806,19118.539,0.0,0.0,0.0,44503.838,53446.178,46664.74
12100102,Hausotterplatz,19751.925,19376.007,20082.949,0.0,0.0,0.0,47114.733,59510.158,49704.567
12100103,Breitkopfbecken,11420.598,11209.578,11209.943,0.0,0.0,0.0,32487.058,34207.587999999996,31522.66
12100204,Schäfersee,18747.471,19357.607,20294.96,0.0,0.0,0.0,29954.629,40819.449,35430.066999999995
12100205,Teichstraße,100762.725,106796.04,107407.062,3850.464,4249.143,3591.49,248731.458,261616.119,240844.361
12100206,Humboldtstraße,6152.164,6179.858,6347.064,1179.934,1441.87,0.0,18654.305,21406.628,19204.999
12200307,Reinickes Hof,10853.006000000001,11409.209,12173.766,1139.011,1313.674,1270.624,35872.327999999994,48718.159,47560.943
12200308,Meller Bogen,11505.169,11532.188,11000.163,0.0,0.0,0.0,14559.121,16820.211,14507.631000000001
12200309,Scharnweberstraße,19231.217,19868.916,19991.538,0.0,0.0,0.0,46039.185,55562.682,47428.476
12200310,Klixstraße,11364.36,11796.425,11930.487000000001,0.0,0.0,0.0,17936.281,20032.839,17762.038
12200411,Schumacher-Quartier,3309.866,1616.575,1620.091,0.0,0.0,0.0,2412.228,4321.99,3927.857
12200412,Waldidyll/Flughafensee,24357.466,25178.833,25596.626,0.0,0.0,0.0,60964.8,80028.321,68976.692
12200413,Tegel Süd,31141.303,33338.832,30531.543000000005,0.0,0.0,0.0,44929.109,50014.275,47992.632
12200414,TXL,12745.317000000001,3527.098,3342.004,0.0,0.0,0.0,4650.686,5646.446,5260.063
