,,,,Ist-Versorgung,,,,,,Ausbauprognose 2024,,,,,
,,,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,
"Bezirk
Nummer","Bezirk
Name","LOR
Planungsräume
Nummer","LOR
Planungsräume
Name",Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%)
02,Friedrichshain-Kreuzberg,02400625,Wriezener Bahnhof, 493 , 64.2 , -   , 117 , 15.2 , -   , 493 , 64.2 , -   , 117 , 15.2 , -   
02,Friedrichshain-Kreuzberg,02500726,Hausburgviertel, 5 837 , 100.0 , -   , 1 068 , 18.3 , -   , 5 837 , 100.0 , -   , 1 068 , 18.3 , -   
02,Friedrichshain-Kreuzberg,02500727,Forckenbeckplatz, 3 974 , 100.0 , -   , 3 974 , 100.0 , -   , 3 974 , 100.0 , -   , 3 974 , 100.0 , -   
02,Friedrichshain-Kreuzberg,02500728,Samariterviertel, 6 131 , 99.9 , -   , 6 119 , 99.7 , -   , 6 131 , 99.9 , -   , 6 119 , 99.7 , -   
02,Friedrichshain-Kreuzberg,02500729,Pettenkofer Straße, 3 164 , 100.0 , -   , 3 164 , 100.0 , -   , 3 164 , 100.0 , -   , 3 164 , 100.0 , -   
02,Friedrichshain-Kreuzberg,02500830,Niederbarnimstraße, 2 517 , 96.5 , -   , 964 , 37.0 , -   , 2 517 , 96.5 , -   , 964 , 37.0 , -   
02,Friedrichshain-Kreuzberg,02500831,Wismarplatz, 4 638 , 96.2 , -   , 1 939 , 40.2 , -   , 4 638 , 96.2 , -   , 1 939 , 40.2 , -   
02,Friedrichshain-Kreuzberg,02500832,Traveplatz, 5 122 , 95.3 , -   , 2 786 , 51.8 , -   , 5 122 , 95.3 , -   , 2 786 , 51.8 , -   
02,Friedrichshain-Kreuzberg,02500833,Boxhagener Platz, 6 807 , 98.0 , -   , 4 098 , 59.0 , -   , 6 807 , 98.0 , -   , 4 098 , 59.0 , -   
02,Friedrichshain-Kreuzberg,02500834,Revaler Straße, 6 569 , 94.5 , -   , 3 416 , 49.1 , -   , 6 569 , 94.5 , -   , 3 427 , 49.3 , 0.2 
02,Friedrichshain-Kreuzberg,02500835,Stralauer Kiez, 4 873 , 97.7 , -   , 2 047 , 41.0 , -   , 4 873 , 97.7 , -   , 2 047 , 41.0 , -   
