PLR_ID,PLR_NAME,wohmi_fl,nat_pers,genossen,jur_pers,sozvermiet,stwbg,jp_ohn_swg
08401241,Blumenviertel,1531883.0,96.0,0.0,3.0,1.06,0.06,2.94
08401242,Zittauer Straße,1358168.0,69.0,3.18,6.0,29.92,1.74,1.08
08401243,Alt-Rudow,1271402.0,87.0,0.1,10.0,3.3,1.2,8.7
08401244,Waßmannsdorfer Chaussee,1351966.0,83.0,2.31,7.0,12.45,0.14,4.55
08401245,Frauenviertel,154633.0,33.0,3.35,67.0,6.7,3.35,60.3
08401246,Waltersdorfer Chaussee Ost,1057509.0,68.0,1.95,13.0,22.77,1.82,9.23
09100101,Alt-Treptow,389737.0,44.0,14.56,52.0,28.96,10.4,27.04
09100202,Plänterwald West,184267.0,34.0,28.8,64.0,50.92,21.12,14.08
09100203,Plänterwald Ost,378379.0,34.0,27.06,66.0,54.12,27.06,11.88
09100304,Baumschulenweg West,535868.0,33.0,42.21,67.0,50.92,8.71,16.08
09100305,Baumschulenweg Ost,140231.0,25.0,10.08,72.0,23.6,11.52,50.4
09100306,Späthsfelde,647132.0,91.0,0.0,6.0,8.34,5.34,0.66
09100407,Johannisthal West,786286.0,59.0,16.45,35.0,31.55,9.1,9.45
09100408,Johannisthal Ost,387879.0,56.0,6.88,43.0,29.81,21.93,14.19
09100409,Landschaftspark Adlershof,1094684.0,58.0,1.2,30.0,14.6,2.4,26.4
09200510,Helmholtz-Kiez,429765.0,37.0,0.59,59.0,10.31,4.72,53.69
09200511,Griechischer Park,494432.0,32.0,13.23,63.0,51.25,34.02,15.75
09200512,Wuhlheide,150979.0,32.0,10.88,68.0,46.92,36.04,21.08
09200613,Bahnhof Schöneweide,465391.0,30.0,19.14,66.0,31.38,9.24,37.62
09200614,Oberspree,347392.0,63.0,11.16,36.0,36.0,24.84,0.0
09200715,Wista,285817.0,17.0,6.93,63.0,43.94,17.01,39.06
09200716,Dörpfeldstraße West,497867.0,60.0,12.48,39.0,24.57,12.09,14.43
09200717,Dörpfeldstraße Ost,727906.0,67.0,8.58,26.0,23.42,8.84,8.58
09200818,Spindlersfeld,305419.0,53.0,0.0,38.0,32.18,23.18,14.82
09200819,Köllnische Vorstadt,416529.0,43.0,22.68,54.0,38.72,14.04,17.28
09300920,Dorf Altglienicke,2216792.0,86.0,0.0,12.0,6.08,4.08,7.92
