PLR_ID,PLR_NAME,school_count,school_names,privat,öffentlich,Typ: Andere Schule,Typ: Berufsschule,Typ: Grundschule,Typ: Gymnasium,Typ: Integrierte Sekundarschule,Typ: Privatschule,Typ: Schule mit sonderpädagogischem Förderschwerpunkt,Art: Berufsfachschule,Art: Berufsschule,Art: Berufsschule mit sonderpäd. Aufgaben,Art: Fachschule,Art: Freie Waldorfschule,"Art: Förderschwerp. ""Geistige Entwicklung""","Art: Förderschwerp. ""Lernen""","Art: Förderschwerp. ""Lernen""u.""Geistige Entwickl.""",Art: Förderschwerp. einschl. beruflichem Teil,Art: Gemeinschaftsschule,Art: Grundschule,Art: Gymnasium,Art: Integrierte Sekundarschule,Art: Kombinierte allg./berufl. Schule,Art: Kombinierte allgemein bildende Schule,Art: Kombinierte berufliche Schule,Art: Oberstufenzentrum,Art: Übrige Förderschwerpunkte
02200211,Chamissokiez,3.0,"['Lina-Morgenstern-Schule (Gemeinschaftsschule)', 'Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule)', 'Leibniz-Gymnasium']",0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
02200212,Graefekiez Süd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02200213,Graefekiez Nord,5.0,"['Lemgo-Grundschule', 'Albrecht-von-Graefe-Schule (Integrierte Sekundarschule)', 'Islamische Grundschule', 'Robert-Koch-Gymnasium', 'Hermann-Hesse-Gymnasium']",1.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
02300314,Oranienplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02300315,Lausitzer Platz,2.0,"['Heinrich-Zille-Grundschule', 'Pro Inklusio - Fachschule für Sozialpädagogik']",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02300316,Köpenicker Straße,3.0,"['OSZ Handel 1', 'Nürtingen-Grundschule', 'Freie Schule Kreuzberg (Grundschule)']",1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
02300417,Reichenberger Straße West,2.0,"['Hunsrück-Grundschule', 'Freie Schule Windrose (Grundschule)']",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02300418,Reichenberger Straße Ost,1.0,['Rosa-Parks-Grundschule'],0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02300419,Wrangelkiez,3.0,"['Fichtelgebirge-Grundschule', 'Refik-Veseli-Schule (Integrierte Sekundarschule)', 'BWK Berufsfachschule für Altenpflege']",1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
02400520,Barnimkiez,2.0,"['Schule am Königstor (Integrierte Sekundarschule)', 'Berlin Bilingual School (Grundschule)']",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
02400521,Friedenstraße,4.0,"['Spartacus-Grundschule', '37. Schule (Grundschule)', 'KreativitätsGrundschule Berlin Friedrichshain', 'Margarethe-von-Witzleben-Schule']",1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
02400522,Richard-Sorge-Viertel,3.0,"['Jane-Addams-Schule (OSZ Sozialwesen)', 'Georg-Weerth-Schule', 'Evangelische Schule Berlin Friedrichshain (Grundschule)']",1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
