Planungsraum-ID,Planungsraumname,Anzahl der Mehrfachbelastungen,Einwohnerdichte-Kategorie,Luftbelastungs-Kategorie,Lärmbelastungs-Kategorie,Thermische Belastungs-Kategorie,Grünflächenversorgungs-Kategorie,Soziale Benachteiligungs-Kategorie,Bezirksname,S-Bahn-Ring
04400835,Rüdesheimer Platz,1,2,2,2,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04500936,Droysenstraße,3,3,3,2,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04500937,Halensee,2,2,3,2,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04500938,Hochmeisterplatz,2,2,3,2,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04500939,Eisenzahnstraße,1,1,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04501040,Hindemithplatz,2,2,3,2,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04501041,George-Grosz-Platz,3,2,3,2,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04501042,Breitscheidplatz,3,1,3,2,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04501043,Preußenpark,2,2,3,1,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04501044,Ludwigkirchplatz,2,2,3,1,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04501045,Schaperstraße,2,2,3,1,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04501146,Barstraße,1,1,2,2,3,1,2,04 - Charlottenburg-Wilmersdorf,1
04501147,Leon-Jessel-Platz,3,3,3,1,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04501148,Brabanter Platz,2,2,3,3,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04501149,Nikolsburger Platz,2,3,3,1,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04501150,Wilhelmsaue,1,2,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04501151,Hildegardstraße,1,3,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04501152,Prager Platz,2,2,3,1,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04501153,Babelsberger Straße,1,2,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
05100101,Hakenfelde Nord,0,1,1,1,1,1,2,05 - Spandau,1
05100102,Am Forstacker,0,2,2,1,2,1,2,05 - Spandau,1
05100103,Mertensstraße,1,1,2,1,3,1,2,05 - Spandau,1
05100104,Maselake,0,1,2,2,2,1,2,05 - Spandau,1
05100105,Amorbacher Weg,0,1,1,1,2,1,2,05 - Spandau,1
05100206,Griesingerstraße,1,1,1,1,1,1,3,05 - Spandau,1
05100207,An der Tränke,1,1,1,3,1,1,1,05 - Spandau,1
05100208,Im Spektefeld,1,1,1,1,2,1,3,05 - Spandau,1
05100209,Westerwaldstraße,1,2,2,1,2,2,3,05 - Spandau,1
05100210,Germersheimer Platz,1,2,2,2,2,1,3,05 - Spandau,1
05100211,An der Kappe,1,1,1,3,2,1,2,05 - Spandau,1
05100312,Eckschanze,0,2,2,1,2,1,2,05 - Spandau,1
05100313,Eiswerder,1,1,2,1,2,1,3,05 - Spandau,1
05100314,Kurstraße,3,2,3,1,2,3,3,05 - Spandau,1
05100315,Ackerstraße,3,2,3,1,2,3,3,05 - Spandau,1
05100316,Carl-Schurz-Straße,1,1,2,3,2,1,2,05 - Spandau,1
05100317,Freiheit,2,1,2,3,3,2,2,05 - Spandau,1
05200418,Isenburger Weg,1,1,1,3,1,1,1,05 - Spandau,1
05200419,Am Heideberg,1,1,1,3,2,1,2,05 - Spandau,1
05200420,Staakener Straße,2,1,1,3,3,1,2,05 - Spandau,1
05200421,05 - Spandauer Straße,2,1,1,3,3,1,2,05 - Spandau,1
05200422,Werkstraße,2,1,1,3,3,1,2,05 - Spandau,1
05200423,Magistratsweg,1,2,2,2,2,1,3,05 - Spandau,1
05200524,Döberitzer Weg,0,1,1,2,1,1,2,05 - Spandau,1
05200525,Pillnitzer Weg,0,1,1,1,2,1,1,05 - Spandau,1
05200526,Rudolf-Wissell-Großsiedlung,1,2,2,1,2,1,3,05 - Spandau,1
05200527,Maulbeerallee,2,1,2,1,3,1,3,05 - Spandau,1
05200528,Weinmeisterhornweg,0,1,1,2,2,1,2,05 - Spandau,1
05200629,Borkumer Straße,2,1,2,3,3,1,2,05 - Spandau,1
05200630,Wilhelmstadt West,0,2,2,2,2,1,2,05 - Spandau,1
05200631,Wilhelmstadt Ost,0,2,2,2,2,1,2,05 - Spandau,1
