gisid,kategorie,bez_name,bez_id,pgr_name,pgr_id,bzr_name,bzr_id,plr_name,plr_id
"03400619",2 - Mittel,Pankow,"03",Südliches Pankow,"0340",Schönholz/Wilhelmsruh/Rosenthal,"034006",Wilhelmsruh,"03400619"
"03400620",1 - Niedrig,Pankow,"03",Südliches Pankow,"0340",Schönholz/Wilhelmsruh/Rosenthal,"034006",Schönholz,"03400620"
"03400721",1 - Niedrig,Pankow,"03",Südliches Pankow,"0340",Pankow Zentrum,"034007",Florakiez,"03400721"
"03400722",1 - Niedrig,Pankow,"03",Südliches Pankow,"0340",Pankow Zentrum,"034007",Parkstraße,"03400722"
"03400723",2 - Mittel,Pankow,"03",Südliches Pankow,"0340",Pankow Zentrum,"034007",Garbátyplatz,"03400723"
"03400724",1 - Niedrig,Pankow,"03",Südliches Pankow,"0340",Pankow Zentrum,"034007",Wolfshagener Straße,"03400724"
"03400725",2 - Mittel,Pankow,"03",Südliches Pankow,"0340",Pankow Zentrum,"034007",Schlosspark,"03400725"
"03400826",2 - Mittel,Pankow,"03",Südliches Pankow,"0340",Pankow Süd,"034008",Tiroler Viertel,"03400826"
"03400827",1 - Niedrig,Pankow,"03",Südliches Pankow,"0340",Pankow Süd,"034008",Trelleborger Viertel,"03400827"
"03400828",1 - Niedrig,Pankow,"03",Südliches Pankow,"0340",Pankow Süd,"034008",Spiekermann Straße,"03400828"
"03400829",1 - Niedrig,Pankow,"03",Südliches Pankow,"0340",Pankow Süd,"034008",Arnold-Zweig-Straße,"03400829"
"03400830",2 - Mittel,Pankow,"03",Südliches Pankow,"0340",Pankow Süd,"034008",Kissingenviertel,"03400830"
"03400831",0 - Weitgehend unbewohnte Fläche,Pankow,"03",Südliches Pankow,"0340",Pankow Süd,"034008",Pankower Tor,"03400831"
"03500932",2 - Mittel,Pankow,"03",Südliches Weißensee,"0350",Weißensee,"035009",Bühringstraße,"03500932"
"03500933",2 - Mittel,Pankow,"03",Südliches Weißensee,"0350",Weißensee,"035009",Weißer See,"03500933"
"03500934",2 - Mittel,Pankow,"03",Südliches Weißensee,"0350",Weißensee,"035009",Weißenseer Spitze,"03500934"
"03500935",2 - Mittel,Pankow,"03",Südliches Weißensee,"0350",Weißensee,"035009",Behaimstraße,"03500935"
"03500936",1 - Niedrig,Pankow,"03",Südliches Weißensee,"0350",Weißensee,"035009",Komponistenviertel Weißensee,"03500936"
"03501037",2 - Mittel,Pankow,"03",Südliches Weißensee,"0350",Weißensee Ost,"035010",Rathaus Weißensee,"03501037"
"03501038",2 - Mittel,Pankow,"03",Südliches Weißensee,"0350",Weißensee Ost,"035010",Hansastraße,"03501038"
"03601139",2 - Mittel,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Nordwest,"036011",Norweger Viertel,"03601139"
"03601140",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Nordwest,"036011",Malmöer Straße,"03601140"
